C_b,cc,u,M,N,D,lnw_local,neff,lnw_chin_full,lnw_chin_M100,lnw_kappa_full,lnw_kappa_M100,design
1.8e+19,44.3369,2.50521,12.2461,4.9495e+08,6.06122e+09,0.0371563,36.6689,0.0451033,-0.0911276,0.0780773,0.00687073,"Marin, Comma"
1.8e+19,44.3369,2.98841,19.8542,3.88718e+08,7.71767e+09,0.230232,33.9181,0.262655,0.0746983,0.307393,0.205116,"Marin, Comma"
1.8e+19,44.3369,3.47162,32.1887,3.05287e+08,9.82681e+09,0.447685,30.8134,0.480207,0.240524,0.536709,0.403362,"Marin, Comma"
1.8e+19,44.3369,3.95482,52.1863,2.39763e+08,1.25123e+10,0.702349,27.303,0.697759,0.40635,0.766025,0.601607,"Marin, Comma"
1.8e+19,44.3369,4.43802,84.6074,1.88303e+08,1.59318e+10,0.998745,23.5962,0.915311,0.572176,0.995341,0.799853,"Marin, Comma"
1.8e+19,44.3369,4.92122,137.171,1.47887e+08,2.02857e+10,1.33602,20.1549,1.13286,0.738002,1.22466,0.998098,"Marin, Comma"
1.8e+19,44.3369,5.40443,222.389,1.16146e+08,2.58296e+10,1.71955,17.1864,1.35041,0.903828,1.45397,1.19634,"Marin, Comma"
3e+19,44.8477,-1.42672,0.240096,4.56344e+09,1.09566e+09,-1.67069,26.3525,-1.77254,-1.49087,-1.83521,-1.64948,"Marin, Comma"
3e+19,44.8477,-0.86195,0.422338,3.44077e+09,1.45316e+09,-1.40184,32.4726,-1.51826,-1.29706,-1.56719,-1.41777,"Marin, Comma"
3e+19,44.8477,-0.297183,0.742908,2.59428e+09,1.92731e+09,-1.15286,37.7243,-1.26399,-1.10324,-1.29916,-1.18607,"Marin, Comma"
3e+19,44.8477,0.267584,1.3068,1.95605e+09,2.55617e+09,-0.907297,41.366,-1.00971,-0.909422,-1.03114,-0.954357,"Marin, Comma"
3e+19,44.8477,0.832351,2.29872,1.47483e+09,3.39022e+09,-0.663611,43.1024,-0.75544,-0.715604,-0.763114,-0.722647,"Marin, Comma"
3e+19,44.8477,1.39712,4.04353,1.112e+09,4.4964e+09,-0.430282,43.0489,-0.501165,-0.521787,-0.49509,-0.490938,"Marin, Comma"
3e+19,44.8477,1.96188,7.11272,8.38431e+08,5.96352e+09,-0.214564,41.3571,-0.246891,-0.32797,-0.227066,-0.259229,"Marin, Comma"
3e+19,44.8477,2.52665,12.5115,6.32164e+08,7.90934e+09,-0.00757579,38.4571,0.00738337,-0.134153,0.0409583,-0.02752,"Marin, Comma"
3e+19,44.8477,3.09142,22.0083,4.76642e+08,1.04901e+10,0.215859,35.0223,0.261658,0.0596639,0.308982,0.204189,"Marin, Comma"
3e+19,44.8477,3.65619,38.7134,3.5938e+08,1.39128e+10,0.481704,31.1819,0.515932,0.253481,0.577007,0.435898,"Marin, Comma"
3e+19,44.8477,4.22095,68.0983,2.70967e+08,1.84524e+10,0.803263,26.8332,0.770206,0.447298,0.845031,0.667608,"Marin, Comma"
3e+19,44.8477,4.78572,119.788,2.04305e+08,2.44732e+10,1.17865,22.5202,1.02448,0.641115,1.11305,0.899317,"Marin, Comma"
3e+19,44.8477,5.35049,210.711,1.54043e+08,3.24585e+10,1.608,18.7187,1.27876,0.834932,1.38108,1.13103,"Marin, Comma"
3e+19,44.8477,5.91525,370.648,1.16146e+08,4.30493e+10,2.12208,15.4595,1.53303,1.02875,1.6491,1.36274,"Marin, Comma"
9e+19,45.9463,-2.36135,0.0942927,1.26127e+10,1.18928e+09,-2.20284,15.8509,-2.29522,-1.91998,-2.38048,-2.12582,"Marin, Comma"
9e+19,45.9463,-1.64018,0.193945,8.7944e+09,1.70563e+09,-1.80084,23.5191,-1.97053,-1.67249,-2.03823,-1.82994,"Marin, Comma"
9e+19,45.9463,-0.91901,0.398914,6.13206e+09,2.44616e+09,-1.4542,31.8608,-1.64584,-1.425,-1.69598,-1.53407,"Marin, Comma"
9e+19,45.9463,-0.197839,0.820502,4.27569e+09,3.50821e+09,-1.12737,38.9833,-1.32114,-1.1775,-1.35373,-1.23819,"Marin, Comma"
9e+19,45.9463,0.523331,1.68764,2.9813e+09,5.03136e+09,-0.815659,42.666,-0.996453,-0.930012,-1.01148,-0.942311,"Marin, Comma"
9e+19,45.9463,1.2445,3.4712,2.07877e+09,7.21582e+09,-0.537306,42.5031,-0.671761,-0.68252,-0.669232,-0.646434,"Marin, Comma"
9e+19,45.9463,1.96567,7.13971,1.44946e+09,1.03487e+10,-0.299608,39.7521,-0.347069,-0.435029,-0.326982,-0.350557,"Marin, Comma"
