uid,w_eq3,Mstar_eq3_ownC
B:moonshotai/Kimi-K2-Base,,
B:zai-org/GLM-4.5-Base,,
B:tiiuae/Falcon3-7B-Base,3.6283115629647162,154.2240210083003
B:tiiuae/falcon-11B,2.04725253420651,128.542881150013
B:ibm-granite/granite-3.0-2b-base,6.187211952660332,99.87566096756203
B:ibm-granite/granite-3.0-8b-base,3.105008131407394,155.86763877664507
B:swiss-ai/Apertus-8B-2509,3.5981631944058843,161.57406571519863
B:swiss-ai/Apertus-70B-2509,0.6207987503031929,436.0924849439461
B:marin-community/marin-8b-base,3.4226859157202485,151.26804993246552
B:apple/DCLM-7B,,
B:m-a-p/neo_7b,2.382883994549293,103.99298908031967
B:LLM360/K2,0.23119253283575947,152.61884002093745
B:stabilityai/stablelm-3b-4e1t,4.246124854253114,70.19964907239371
A:Nemotron 3.5 Lightning,,
A:LongCat-2.0,,
A:Ring-2.6-1T,,
A:Granite 4.1 30B,,
A:Granite 4.1 8B,,
A:MiMo-V2.5-Pro,,
A:Solar Open 100B,,
A:K-EXAONE,,
A:Kimi Linear,,
A:Ling-1T,,
A:Granite-4.0-H-Tiny,,
A:Granite-4.0-H-Micro,,
A:Granite-4.0-H-Small,,
A:Qwen3-Next-80B-A3B,,
A:Ling-mini-base-2.0-20T,,
A:Ling-flash-base-2.0-20T,,
A:LongCat-Flash,,
A:Teuken 7B,,
A:NVIDIA-Nemotron-Nano-9B-v2,,
A:NVIDIA-Nemotron-Nano-12B-v2,,
A:Tri-21B,,
A:Qwen3-Coder-480B-A35B,,
A:EXAONE 4.0 (32B),,
A:EXAONE 4.0 (1.2B),,
A:dots.llm1,,
A:MiMo-7B-Base,,
A:Seed-Coder,,
A:Pangu Pro MoE,,
A:Falcon-H1,,
A:MamayLM,,
A:Trillion-7B,,
A:Demist-2,,
A:Nemotron-H 8B,,
A:Nemotron-H 56B,,
A:GLM-4-9B-0414,,
A:GLM-4-32B-0414,,
A:Pangu Ultra,,
A:Hunyuan-TurboS,,
"A:Ling-lite-1.5 (""Bailing"")",,
"A:Ling-Plus (""Bailing"")",,
A:YandexGPT 5 Lite,,
A:Step-1,,
A:Mistral Small 3,,
A:MiniMax-Text-01,,
A:EXAONE 3.5 2.4B,,
A:EXAONE 3.5 7.8B,,
A:EXAONE 3.5 32B,,
A:Pleias 1.0 350m,,
A:Pleias 1.0 1.2B,,
A:INTELLECT-1,,
A:Hymba,,
A:Qwen2.5-Coder (32B),,
A:Hunyuan-Large,,
A:RWKV-5 (Eagle) 7B,,
