uid,tech,N_used,M_used,C_used,lnMstar,lnw,w,w_lo,w_hi,sd_lnw,s,s_lo,s_hi,M_extrap,C_extrap,Mstar
B:facebook/opt-66b,chin,66000000000.0,4.545454545454546,1.188e+23,2.929859260282006,-0.5057580063459834,0.6030482877064229,0.4965152637788731,0.7729338536920983,0.12163836344315143,-0.6582420021509485,-1.0140367737926335,-0.29377177002051,0.0,True,18.724994960704766
B:mosaicml/mpt-30b,chin,30000000000.0,33.333333333333336,1.8e+23,2.9183083326269115,0.21014713684199648,1.2338595928052831,0.9941917441059882,1.6434880832350365,0.1328583517911889,0.18953501206209675,-0.005842188821669183,0.39153802805092247,0.0,True,18.50994828390051
B:mosaicml/mpt-7b,chin,7000000000.0,142.85714285714286,4.2e+22,2.958763910838284,0.7155836711465575,2.0453801633095128,1.6771368171553513,2.686877531909686,0.11878595165901787,0.5110933322136276,0.40374572320454216,0.6278207740680855,0.0,True,19.274132478543986
B:facebook/xglm-564M,chin,564000000.0,886.5248226950355,1.692e+21,3.0480476882949956,1.3358192375844702,3.803110321451766,3.2789543115155646,4.712676406198658,0.08768140102567537,0.7370573253267424,0.6950247228245793,0.7878063516763671,1.0,False,21.07416090308382
B:facebook/xglm-1.7B,chin,1700000000.0,294.11764705882354,5.1e+21,3.017376200961756,0.9526213957768235,2.592496719595884,2.2016965345360933,3.263958306261369,0.09394327971375328,0.6142714502042343,0.5458047990202681,0.6936235373835309,0.0,False,20.43759712544959
B:facebook/xglm-4.5B,chin,5076815872.0,98.48692814676104,1.5230447616e+22,2.986962501330449,0.5726442550050095,1.7729489878235072,1.488049602046134,2.238663582824427,0.10266064925242306,0.43596797941286985,0.3279793908583721,0.5533049236731039,0.0,True,19.825371401252944
B:facebook/xglm-7.5B,chin,7500000000.0,66.66666666666667,2.25e+22,2.976114797248135,0.4371171855887894,1.548237497548935,1.2928737448938161,1.959891592273285,0.10626243821414703,0.35410426269669065,0.226529269428292,0.4897676973857025,0.0,True,19.61147388493777
B:openlm-research/open_llama_3b_v2,chin,3000000000.0,333.3333333333333,1.8e+22,2.9823179722573636,1.0098591134663852,2.7452142240546804,2.266472471937652,3.619348667418236,0.11191055883253338,0.6357297032641044,0.5587857287562463,0.7237071937826529,0.0,True,19.733505389717543
B:openlm-research/open_llama_7b_v2,chin,7000000000.0,142.85714285714286,4.2e+22,2.958763910838284,0.7155836711465575,2.0453801633095128,1.6771368171553513,2.686877531909686,0.11878595165901787,0.5110933322136276,0.40374572320454216,0.6278207740680855,0.0,True,19.274132478543986
B:openlm-research/open_llama_7b,chin,7000000000.0,142.85714285714286,4.2e+22,2.958763910838284,0.7155836711465575,2.0453801633095128,1.6771368171553513,2.686877531909686,0.11878595165901787,0.5110933322136276,0.40374572320454216,0.6278207740680855,0.0,True,19.274132478543986
B:openlm-research/open_llama_3b,chin,3000000000.0,333.3333333333333,1.8e+22,2.9823179722573636,1.0098591134663852,2.7452142240546804,2.266472471937652,3.619348667418236,0.11191055883253338,0.6357297032641044,0.5587857287562463,0.7237071937826529,0.0,True,19.733505389717543
B:openlm-research/open_llama_13b,chin,13000000000.0,76.92307692307692,7.8e+22,2.9415552192821,0.5005848550468581,1.6496858156881675,1.3410877481354924,2.1923217206791055,0.12445978854344489,0.39382396909144224,0.25433663726307615,0.5438625679034761,0.0,True,18.94528748898584
B:deepseek-ai/deepseek-llm-67b-base,chin,67000000000.0,29.850746268656717,8.04e+23,2.8767031202324613,0.18558934220044065,1.2039277565253241,0.9418072664244628,1.6849973843460628,0.15374516064857616,0.16938537667233738,-0.061788367588693424,0.4065272686532425,0.0,True,17.755638371859106
B:deepseek-ai/deepseek-llm-7b-base,chin,7000000000.0,285.7142857142857,8.4e+22,2.939495089297876,0.9700882081111111,2.6381771577149187,2.123860666164207,3.6231871546813488,0.1322814486865581,0.6209503986206297,0.5291593201327809,0.7239999046949736,0.0,True,18.906297909760408
B:deepseek-ai/deepseek-moe-16b-base,chin,2800000000.0,714.2857142857143,3.36e+22,2.9649670858475123,1.2883255990241516,3.6267089040317453,2.933695326245431,4.982550240663221,0.1253685272230819,0.7242679171498109,0.6591329743570172,0.7992995651425903,1.0,True,19.394064891756834
B:stabilityai/stablelm-base-alpha-3b,chin,3000000000.0,500.0,2.7e+22,2.971046434223137,1.1587347238540495,3.185899681978087,2.5977883351306628,4.3021571145298685,0.12004029022330504,0.6861169214910395,0.6150571674848551,0.7675584658164494,1.0,True,19.512327283560115
B:stabilityai/stablelm-base-alpha-7b-v2,chin,6889414656.0,159.66523353939925,4.54701367296e+22,2.956557052429596,0.7561095222353984,2.129973465720233,1.7431100021785038,2.8138487094218454,0.12048729431622501,0.530510583303507,0.42631274058996843,0.6446148662322831,0.0,True,19.231644097378158
