set,uid,model,dev,M,C,dlo,dhi,sign,w_lo,w_hi,s_lo,s_hi
PI-2 PI-1 + M* nondecreasing in C,B:meta-llama/Llama-2-70b-hf,Llama-2-70b-hf,Meta,28.99531803831451,8.27719839744e+23,-1.2466668463676496,1.2865624713668353,ambiguous,0.5253807058400654,1.9429929333135052,-0.9033816599736662,0.4853300890319562
PI-2 PI-1 + M* nondecreasing in C,B:huggyllama/llama-7b,llama-7b,Meta,148.40279274205582,4.0430505984e+22,0.9056160285234487,2.919358250941749,w>1,1.4408983503426396,4.514133365489499,0.3059885176756541,0.7784735365496754
PI-2 PI-1 + M* nondecreasing in C,B:huggyllama/llama-13b,llama-13b,Meta,76.8293045111414,7.809520128e+22,0.13998837009659848,2.2610142378991123,w>1,1.0580866498500836,3.213375073642749,0.05489781943502802,0.6888007228902852
PI-2 PI-1 + M* nondecreasing in C,B:huggyllama/llama-30b,llama-30b,Meta,43.03858899503889,2.732431586304e+23,-0.6599930283634832,1.6815252331126151,ambiguous,0.7112418368631895,2.3824797275781218,-0.4059915322337181,0.5802692512240023
PI-2 PI-1 + M* nondecreasing in C,B:huggyllama/llama-65b,llama-65b,Meta,21.444217241505925,5.483995926528e+23,-1.4744780969297353,0.9848831179258526,ambiguous,0.4670835825991977,1.662758215555996,-1.1409444417533627,0.3985896502302842
PI-2 PI-1 + M* nondecreasing in C,B:meta-llama/Meta-Llama-3-70B,Meta-Llama-3-70B,Meta,212.60399694026583,6.34983358464e+24,0.38512041525360363,3.278859367383591,w>1,1.1680463876609202,5.434770614563761,0.14386961805296336,0.8159995939257745
PI-2 PI-1 + M* nondecreasing in C,B:meta-llama/Meta-Llama-3-8B,Meta-Llama-3-8B,Meta,1867.9342473118008,7.2272351232e+23,3.021947633377037,5.452016520026382,w>1,3.3833207284109226,16.689504671272324,0.7044323963724007,0.9400821043106629
PI-2 PI-1 + M* nondecreasing in C,B:meta-llama/Llama-3.1-405B,Llama-3.1-405B,Meta,38.437525546170825,3.798787719168e+25,-1.6482267181322983,1.5684623115513379,ambiguous,0.42700890503250455,2.24738979911214,-1.341871535264302,0.5550393614872405
PI-2 PI-1 + M* nondecreasing in C,B:Qwen/Qwen-72B,Qwen-72B,Alibaba,41.50070986532617,1.301182562304e+24,-0.9397725448941276,1.6451386336479388,ambiguous,0.615581453398395,2.338140808980837,-0.6244803908229756,0.5723097616024734
PI-2 PI-1 + M* nondecreasing in C,B:Qwen/Qwen-14B,Qwen-14B,Alibaba,211.7553754920856,2.5501123584e+23,1.0361914432554764,3.2748598206100406,w>1,1.5188180405991298,5.423559959452377,0.34159328288889107,0.8156192597710359
PI-2 PI-1 + M* nondecreasing in C,B:Qwen/Qwen-7B,Qwen-7B,Alibaba,310.8274993912754,1.111870734336e+23,1.6145605325791106,3.658666195328327,w>1,1.9178581353341864,6.612123692939801,0.4785849998098268,0.8487626598595296
PI-2 PI-1 + M* nondecreasing in C,B:Qwen/Qwen2-72B,Qwen2-72B,Alibaba,96.27789168981808,3.053660553216e+24,-0.26018541977042364,2.486666816347994,ambiguous,0.8743022428507086,3.61041332269304,-0.14376922646274734,0.7230234018596822
PI-2 PI-1 + M* nondecreasing in C,B:Qwen/Qwen2-7B,Qwen2-7B,Alibaba,919.1639296661056,3.19855893504e+23,2.513854789836233,4.7428925861263105,w>1,2.756401403746922,11.572966075253696,0.6372081371600496,0.9135917280412421
PI-2 PI-1 + M* nondecreasing in C,B:Qwen/Qwen2-1.5B,Qwen2-1.5B,Alibaba,4534.517806735306,6.4836000768e+22,4.282366410296248,6.338902131194614,w>1,5.625044635027961,26.381512275909,0.8222236328983318,0.9620946672980086
PI-2 PI-1 + M* nondecreasing in C,B:Qwen/Qwen2-0.5B,Qwen2-0.5B,Alibaba,24289.886779332013,3.5570359296e+22,6.070484107473779,8.017243462149409,w>1,11.570278322004624,62.750185067906415,0.9135716555669904,0.9840637920204087
PI-2 PI-1 + M* nondecreasing in C,B:01-ai/Yi-6B,Yi-6B,01.AI,494.9649263893441,1.0909863936e+23,1.9534971359690037,4.123915005648194,w>1,2.198805049302511,8.407335929998672,0.5452075206407168,0.8810562574962842
PI-2 PI-1 + M* nondecreasing in C,B:01-ai/Yi-34B,Yi-34B,01.AI,87.23740786501426,6.19000510464e+23,-0.09606273069530769,2.3880613295720234,ambiguous,0.9516142792658363,3.4312134849871585,-0.050845938095309934,0.7085579185394981
PI-2 PI-1 + M* nondecreasing in C,B:google/gemma-7b,gemma-7b,Google,702.7669542921273,3.07356512256e+23,2.2218289349968448,4.4744534365026505,w>1,2.450131505536289,10.075245398620314,0.5918586419788442,0.9007468344009826
PI-2 PI-1 + M* nondecreasing in C,B:google/gemma-2b,gemma-2b,Google,1197.044537258206,4.5111103488e+22,3.1901783815310187,5.00703901363513,w>1,3.6208581822479307,13.263899394071785,0.7238223786552248,0.9246073895549191
PI-2 PI-1 + M* nondecreasing in C,B:google/gemma-2-27b,gemma-2-27b,Google,477.464969761453,2.12371600896e+24,1.432218920377677,4.087918896842556,w>1,1.7818715205170854,8.252535554241621,0.43879230994734814,0.8788251206641549
PI-2 PI-1 + M* nondecreasing in C,B:tiiuae/falcon-180B,falcon-180B,TII,19.49615636151623,3.76997386752e+24,-1.9078191729869953,0.8896454378441994,ambiguous,0.3734491526182993,1.5829786014315421,-1.677740712460782,0.36827952121673313
PI-2 PI-1 + M* nondecreasing in C,B:tiiuae/falcon-40b,falcon-40b,TII,23.902875602367764,2.5101582336e+23,-1.2276114225134913,1.0934268711595214,ambiguous,0.5305748987733557,1.7585982208118836,-0.8847480389892461,0.4313652839144038
PI-2 PI-1 + M* nondecreasing in C,B:tiiuae/falcon-7b,falcon-7b,TII,207.83712911547445,6.495470784e+22,1.1484071018312356,3.2561828412410856,w>1,1.589139931954652,5.371514097319938,0.3707287949337515,0.8138327514584873
PI-2 PI-1 + M* nondecreasing in C,B:microsoft/phi-2,phi-2,Microsoft,503.65440121420426,2.3349344256e+22,2.2039635704528906,4.141318422355868,w>1,2.4325399768673845,8.483216881499297,0.5889070644225153,0.8821201893139312
PI-2 PI-1 + M* nondecreasing in C,B:microsoft/phi-1_5,phi-1_5,Microsoft,105.76260081009076,1.276443648e+21,1.2074667159973043,2.5806250687934025,w>1,1.6274490105869746,3.7898682263113184,0.3855414249572535,0.7361385831155135
PI-2 PI-1 + M* nondecreasing in C,B:mosaicml/mpt-30b,mpt-30b,MosaicML,33.333333333333336,1.8e+23,-0.830048658550604,1.4259859986889776,ambiguous,0.651459859932315,2.088009967590272,-0.535013991658515,0.5210750832027499
PI-2 PI-1 + M* nondecreasing in C,B:mosaicml/mpt-7b,mpt-7b,MosaicML,142.85714285714286,4.2e+22,0.8566428075756649,2.881273231295819,w>1,1.4127160841027837,4.426240589039864,0.29214368601522633,0.7740746396668603
PI-2 PI-1 + M* nondecreasing in C,B:deepseek-ai/deepseek-llm-67b-base,deepseek-llm-67b-base,DeepSeek,29.850746268656717,8.04e+23,-1.2119305647221092,1.3156379415201123,ambiguous,0.5348877350774545,1.9723795086912281,-0.869551186951772,0.4929981803230405
PI-2 PI-1 + M* nondecreasing in C,B:deepseek-ai/deepseek-llm-7b-base,deepseek-llm-7b-base,DeepSeek,285.7142857142857,8.4e+22,1.528800906723875,3.5744204118557645,w>1,1.852653873913431,6.330696575450667,0.4602337683899572,0.842039499432365
PI-2 PI-1 + M* nondecreasing in C,B:stabilityai/stablelm-base-alpha-3b,stablelm-base-alpha-3b,Stability AI,500.0,2.7e+22,2.285109562084339,4.134036199791187,w>1,2.513471838118133,8.451382554585381,0.6021439409686355,0.8816761643978073
PI-2 PI-1 + M* nondecreasing in C,B:stabilityai/stablelm-base-alpha-7b-v2,stablelm-base-alpha-7b-v2,Stability AI,159.66523353939925,4.54701367296e+22,0.9828035047312604,2.9925074343266296,w>1,1.486462588297188,4.687872511380551,0.3272619116868952,0.7866836187263322
PI-2 PI-1 + M* nondecreasing in C,B:stabilityai/stablelm-2-1_6b,stablelm-2-1_6b,Stability AI,1216.1637936402378,1.9734183936e+22,3.2869525272149263,5.022884853541352,w>1,3.7649835004113417,13.37285547222804,0.7343945863532348,0.925221655010275
PI-2 PI-1 + M* nondecreasing in C,B:stabilityai/stablelm-base-alpha-7b,stablelm-base-alpha-7b,Stability AI,214.28571428571428,6.3e+22,1.2928628843457597,3.2867383394039837,w>1,1.6844802188818155,5.456923060469986,0.40634506194212494,0.8167465458246953
