design,E,ssr,gamma,in_set
Chinchilla,0.2549889899087735,0.006040948900374758,0.05950601075975223,False
Chinchilla,0.25682344307358485,0.006035657688716243,0.05955363587476887,False
Chinchilla,0.25865789623839613,0.0060303604138431,0.05960133699560174,False
Chinchilla,0.2604923494032075,0.006025057066966066,0.05964911467816502,False
Chinchilla,0.26232680256801877,0.0060197476392860605,0.05969696879105242,False
Chinchilla,0.2641612557328301,0.0060144321219946385,0.0597448992829757,False
Chinchilla,0.2659957088976414,0.006009110506272811,0.05979290680455162,False
Chinchilla,0.26783016206245275,0.006003782783293068,0.05984099131963331,False
Chinchilla,0.2696646152272641,0.0059984489442169164,0.05988915299340756,False
Chinchilla,0.2714990683920754,0.005993108980197478,0.05993739212845821,False
Chinchilla,0.2733335215568867,0.005987762882377414,0.05998570864453973,False
Chinchilla,0.275167974721698,0.00598241064189047,0.060034103029786116,False
Chinchilla,0.27700242788650936,0.005977052249860386,0.06008257535152502,False
Chinchilla,0.27883688105132065,0.0059716876974019225,0.060131125814013545,False
Chinchilla,0.280671334216132,0.00596631697562007,0.06017975454688375,False
Chinchilla,0.2825057873809433,0.005960940075610541,0.06022846199816167,False
Chinchilla,0.28434024054575463,0.005955556988459793,0.06027724800795565,False
Chinchilla,0.286174693710566,0.005950167705244964,0.06032611265513693,False
Chinchilla,0.28800914687537726,0.005944772217033567,0.06037505670047368,False
Chinchilla,0.2898436000401886,0.00593937051488454,0.06042407973012805,False
Chinchilla,0.2916780532049999,0.005933962589847387,0.06047318251216766,False
Chinchilla,0.29351250636981124,0.005928548432961788,0.060522364876755615,False
Chinchilla,0.29534695953462253,0.005923128035259642,0.060571627212301846,False
Chinchilla,0.2971814126994339,0.00591770138776263,0.06062096916152526,False
Chinchilla,0.29901586586424517,0.005912268481484,0.06067039162926497,False
Chinchilla,0.3008503190290565,0.005906829307428189,0.06071989436394498,False
Chinchilla,0.30268477219386786,0.005901383856589982,0.06076947788847249,False
Chinchilla,0.30451922535867915,0.005895932119956099,0.06081914219813667,False
Chinchilla,0.3063536785234905,0.005890474088504044,0.06086888752684431,False
Chinchilla,0.3081881316883018,0.005885009753202345,0.0609187140909998,False
Chinchilla,0.3100225848531131,0.005879539105011441,0.06096862213939983,False
Chinchilla,0.3118570380179244,0.005874062134882472,0.06101861176867851,False
Chinchilla,0.31369149118273576,0.005868578833758278,0.06106868304741277,False
Chinchilla,0.31552594434754705,0.005863089192572717,0.06111883666194431,False
Chinchilla,0.3173603975123584,0.005857593202251893,0.06116907225068401,False
Chinchilla,0.31919485067716974,0.005852090853712737,0.06121939024574924,False
Chinchilla,0.32102930384198103,0.005846582137863772,0.061269790913324025,False
Chinchilla,0.3228637570067924,0.0058410670456055655,0.06132027425954135,False
Chinchilla,0.32469821017160366,0.005835545567830167,0.061370840909462834,False
Chinchilla,0.326532663336415,0.005830017695421002,0.06142149067145531,False
Chinchilla,0.3283671165012263,0.005824483419254008,0.061472223967731034,False
Chinchilla,0.33020156966603764,0.005818942730196191,0.06152304065632684,False
Chinchilla,0.33203602283084893,0.0058133956191069045,0.0615739415062372,False
Chinchilla,0.3338704759956603,0.005807842076837517,0.06162492618272705,False
Chinchilla,0.3357049291604716,0.005802282094231164,0.06167599506598104,False
Chinchilla,0.3375393823252829,0.005796715662122993,0.06172714852113887,False
Chinchilla,0.33937383549009426,0.0057911427713404975,0.06177838677034242,False
Chinchilla,0.34120828865490554,0.005785563412703312,0.06182970982309172,False
Chinchilla,0.3430427418197169,0.0057799775770231215,0.06188111801402218,False
Chinchilla,0.3448771949845282,0.005774385255104273,0.06193261144072374,False
Chinchilla,0.3467116481493395,0.005768786437743168,0.06198419055540756,False
Chinchilla,0.3485461013141508,0.005763181115728807,0.06203585512670463,False
Chinchilla,0.35038055447896216,0.005757569279842506,0.06208760590410325,False
Chinchilla,0.35221500764377345,0.005751950920858125,0.06213944274080658,False
Chinchilla,0.3540494608085848,0.005746326029542531,0.062191366078077265,False
Chinchilla,0.35588391397339614,0.005740694596654996,0.062243375731311786,False
Chinchilla,0.3577183671382074,0.005735056612947348,0.062295472478724606,False
Chinchilla,0.35955282030301877,0.005729412069164565,0.0623476562446394,False
Chinchilla,0.36138727346783006,0.005723760956044584,0.06239992681851628,False
Chinchilla,0.3632217266326414,0.0057181032643176186,0.0624522856052622,False
Chinchilla,0.3650561797974527,0.0057124389847080645,0.06250473144810634,False
Chinchilla,0.36689063296226404,0.005706768107932308,0.06255726554017844,False
Chinchilla,0.36872508612707533,0.005701090624700007,0.0626098889791506,False
Chinchilla,0.3705595392918867,0.005695406525715494,0.06266259804809682,False
