sigma_star,S,obj,kappa,a,lnE,LR,dobj,sample,objective
0.9,0.22222222222222232,0.021201643713714004,3.754968085762199,0.7066551363147294,0.5873352109002303,360.1259352152897,0.016473399259531875,full (n=240),gauss
0.91,0.19780219780219754,0.02246321697259243,4.451160105295053,0.7376893766300747,0.5828681095397843,373.99804511331587,0.017734972518410302,full (n=240),gauss
0.92,0.17391304347826075,0.02374605933807578,5.536687618075302,0.7766915026736488,0.576867018156171,387.32702683972815,0.01901781488389365,full (n=240),gauss
0.93,0.15053763440860202,0.025047933071036727,7.529228054271609,0.8262615526811445,0.5688822071533375,400.136959132287,0.020319688616854598,full (n=240),gauss
0.94,0.12765957446808507,0.026366939874094327,12.623089261720676,0.8905581929607626,0.5577543357029148,412.45367175041326,0.021638695419912198,full (n=240),gauss
0.95,0.10526315789473673,0.02772326834996179,19.855207907748095,0.9189736375319558,0.5572509648821139,424.4923418255273,0.022995023895779662,full (n=240),gauss
0.5,2.0,0.0021529033363085676,0.2624839226156672,0.48477451880615385,0.4502871139569208,,0.0011987066924822893,full (n=240),huber
0.51,1.9215686274509802,0.002060744765202743,0.2796552139447115,0.48560185436561953,0.46366094336528596,,0.0011065481213764646,full (n=240),huber
0.52,1.8461538461538458,0.0019692509902143494,0.29844861198961875,0.4863945040998354,0.4778417106284711,,0.001015054346388071,full (n=240),huber
0.53,1.773584905660377,0.001878889006386875,0.31917239002860204,0.48705549241441604,0.4929108010397228,,0.0009246923625605967,full (n=240),huber
0.54,1.7037037037037033,0.0017900984113454112,0.3404576342578161,0.4879615372504956,0.5058299784068101,,0.0008359017675191329,full (n=240),huber
0.55,1.6363636363636362,0.001703554878907088,0.3624975920953929,0.4890786258577928,0.5173016596182659,,0.0007493582350808097,full (n=240),huber
0.56,1.5714285714285712,0.0016196049485162386,0.38509462908357,0.4908537109934745,0.5271373384077003,,0.0006654083046899603,full (n=240),huber
0.57,1.5087719298245617,0.001538900149986628,0.4090184555353678,0.49344650232669496,0.5363915686830518,,0.0005847035061603497,full (n=240),huber
0.58,1.4482758620689657,0.0014616277227858926,0.4332323940118022,0.4969805534554359,0.5435098741955416,,0.0005074310789596143,full (n=240),huber
0.59,1.3898305084745766,0.001386924668488656,0.46208391059645565,0.4983311669409938,0.5532623419717062,,0.00043272802466237767,full (n=240),huber
0.6,1.3333333333333335,0.0013157880596583202,0.48364309583876297,0.49716663254848037,0.5549717381324506,,0.00036159141583204184,full (n=240),huber
0.61,1.278688524590164,0.0012482522699219932,0.5077721565233955,0.4996541714554411,0.5577308337130573,,0.00029405562609571487,full (n=240),huber
0.62,1.2258064516129035,0.0011858255088251903,0.5327289763147213,0.5032404725394248,0.5600386237083192,,0.0002316288649989119,full (n=240),huber
0.63,1.1746031746031744,0.0011329446247042066,0.5552089380904538,0.5063929957967668,0.5592296183852037,,0.0001787479808779283,full (n=240),huber
0.64,1.125,0.0010923061698334285,0.5771650595351465,0.5053636594818267,0.5571556343867546,,0.00013810952600715014,full (n=240),huber
0.65,1.0769230769230766,0.0010565307924446106,0.6016050345916921,0.5041419624003161,0.5561410421270633,,0.0001023341486183322,full (n=240),huber
0.66,1.0303030303030303,0.0010235385781785524,0.6277209642215239,0.5028749174797837,0.5553089056497079,,6.934193435227404e-05,full (n=240),huber
0.67,0.9850746268656714,0.0009939431369811185,0.6549924960656281,0.5024070640094269,0.5539860203935241,,3.974649315484011e-05,full (n=240),huber
0.68,0.9411764705882351,0.0009702468596305138,0.6889240475344873,0.5070425997530708,0.5555510023126041,,1.6050215804235468e-05,full (n=240),huber
0.69,0.8985507246376816,0.000957959007674769,0.7263843162586981,0.5068601617232982,0.5581618222564207,,3.762363848490652e-06,full (n=240),huber
0.7,0.8571428571428572,0.0009541966438262784,0.7716435752547294,0.5037699331847949,0.5634417311538191,,0.0,full (n=240),huber
0.71,0.8169014084507045,0.0009566449821578366,0.8133763991672764,0.5032902071707754,0.5652783594141061,,2.4483383315582457e-06,full (n=240),huber
0.72,0.7777777777777777,0.000964370703927275,0.8562911500704107,0.50320156777803,0.5661117528831531,,1.0174060100996609e-05,full (n=240),huber
0.73,0.7397260273972601,0.00098366812588959,0.9091990469894723,0.5058239664664793,0.569942111435766,,2.9471482063311676e-05,full (n=240),huber
0.74,0.7027027027027026,0.001013510104725801,0.9657368723825074,0.5132804371468345,0.573146233708007,,5.9313460899522615e-05,full (n=240),huber
0.75,0.6666666666666665,0.0010484281449959303,1.0231788974607583,0.5216597356239028,0.574558073808193,,9.423150116965196e-05,full (n=240),huber
