model,N_nonemb,D,M,w_farseer,w_eq3,Mstar_eq3_ownC,in_farseer_N,above_farseer_N,in_farseer_N_1p5,above_farseer_N_1p5
pythia-2.8b,2517652800.0,299892736000.0,108.061304839684,1.6286077943857087,1.7290076106431675,35.96838570229396,True,False,True,False
pythia-6.9b,6444163584.0,299892736000.0,43.73333898795722,1.2511553224034457,1.0251861950026273,44.235092899351,False,True,True,False
pythia-12b,11327027776.0,299892736000.0,25.315793565753182,1.0680581052175688,0.7101714354842964,51.07217634357358,False,True,False,True
Llama-3.2-1B,973146112.0,9000000000000.0,7282.646973526122,6.138223439401598,9.361768964395218,67.0576437007068,True,False,True,False
Llama-3.2-3B,2818747392.0,9000000000000.0,2801.3385707059647,4.554814845446688,5.202093509331072,95.06804812905875,True,False,True,False
Qwen2.5-0.5B,357898112.0,18000000000000.0,36434.83016899802,10.086309009653947,21.024232227866744,61.13759877677234,True,False,True,False
Qwen2.5-1.5B,1310340608.0,18000000000000.0,11660.188645890788,7.008369949145595,9.986162607572714,92.69297224279997,True,False,True,False
Qwen2.5-3B,2774773760.0,18000000000000.0,5832.9091468974775,5.678155189206678,6.5157492263764265,121.4104953823992,True,False,True,False
Qwen2.5-7B,6525621760.0,18000000000000.0,2363.564390569986,4.467030973708518,3.9557678756413805,169.19817710889407,False,True,True,False
Qwen2.5-14B,13212898304.0,18000000000000.0,1218.6837491015756,3.664969687284476,2.549602883057793,226.60568922986616,False,True,False,True
Qwen2.5-32B,31206740992.0,18000000000000.0,549.3855429869253,2.879793998610471,1.3829574056718035,330.3635865644094,False,True,False,True
Qwen2.5-72B,70214787072.0,18000000000000.0,247.57172148810363,2.2938410909377316,0.6462723008249351,481.0050624776294,False,True,False,True
Qwen3-0.6B-Base,440467456.0,36000000000000.0,60397.62575590984,11.810326025209601,23.908062804932797,81.0403383959653,True,False,True,False
Qwen3-1.7B-Base,1409410048.0,36000000000000.0,20923.23816291514,8.52232629283691,11.966292361572687,122.12691459212671,True,False,True,False
Qwen3-4B-Base,3633511936.0,36000000000000.0,8949.729156534248,6.533983485720616,6.868663468552322,176.72379314473235,True,False,True,False
Qwen3-8B-Base,6946075648.0,36000000000000.0,4395.209760506778,5.447941984807112,4.664868593680205,231.49934288402807,False,True,True,False
Qwen3-14B-Base,13212482560.0,36000000000000.0,2437.6524345322396,4.548781863014286,3.119757415231057,306.5848181169329,False,True,False,True
Qwen3-32B,31206298624.0,36000000000000.0,1098.8298807714295,3.5742427058617308,1.7105361727031219,454.93274396516705,False,True,False,True
gemma-3-270m,100326016.0,6000000000000.0,22379.861323636906,10.232477797137847,27.93172058510836,34.43768775922762,True,False,True,False
gemma-3-1b-pt,697896064.0,2000000000000.0,2000.2281220168595,4.216613304435004,6.562576711589754,40.98367931050421,True,False,True,False
gemma-3-4b-pt,3211826992.0,4000000000000.0,1030.1102588404608,3.410375798445001,3.731296146205608,75.65627366237067,True,False,True,False
gemma-3-12b-pt,10763446320.0,12000000000000.0,1019.5130516123792,3.4211271701058608,2.576106825757591,175.81812736427486,False,True,False,True
gemma-3-27b-pt,25605776432.0,14000000000000.0,518.2228121368007,2.8147866334479206,1.4892279554650363,270.52979590174635,False,True,False,True
OLMo-2-0425-1B,1073874944.0,4050000000000.0,2727.4256541209866,4.655440301147356,6.752429428156501,54.63248006971594,True,False,True,False
OLMo-2-1124-7B,6476533760.0,4050000000000.0,554.8996212727055,2.812134309198933,2.5095561552448653,96.18297317062033,False,True,True,False
OLMo-2-1124-13B,12688593920.0,5150000000000.0,375.46846799766325,2.5097106720899616,1.7809440509256027,134.39313882018806,False,True,False,True
OLMo-2-0325-32B,31206675456.0,6150000000000.0,190.79067415839916,2.0606363299720356,0.9713959552920997,206.99530057765654,False,True,False,True
Olmo-3-1025-7B,6476533760.0,6030000000000.0,826.2525073790187,3.1835479868166288,2.846686712202559,110.87787481704841,False,True,True,False
Olmo-3-1125-32B,31206675456.0,5600000000000.0,173.73217762002974,2.0013385457094532,0.9404707428700768,199.0625398737386,False,True,False,True
SmolLM2-135M,106203456.0,2000000000000.0,14868.229424630446,7.150592368721978,16.8057287631322,29.16768240780076,True,False,True,False
SmolLM2-360M,314635200.0,4000000000000.0,11055.186607127853,6.54401632496345,12.80105440860985,40.041688337862425,True,False,True,False
SmolLM2-1.7B,1610713088.0,11000000000000.0,6427.574964128989,5.672997891928028,7.5772751861658,84.09000508289266,True,False,True,False
