tech,sigma_star,spec,w,r,r_obs,life_penalty,train_penalty,ratio_proc,ratio_eff,N_ratio,shadow_life_rel,C,U,N_w,D_w,Phi,loss,D_ratio,epochs,N_c,D_c,mN_c,w_true_c,s_true_c,w_hat_proc,w_hat_eff,s_hat_proc,ratio_proc_vs_w,mu_eff,mu_eta,shadow_life,elas_life_U
kq,0.7005534249155089,D15,1.5,0.5946,0.9554481302415364,0.0,0.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
kq,0.7005534249155089,D15,1.5,0.7071,1.1362216160339562,0.00033401841923885733,-0.002059798087407305,0.992378342840004,0.9921769245141222,1.0051216514325312,0.008894512326110111,1e+26,26370591412401.195,556244631583.7224,29962835990369.656,89888507971108.97,1.8392675989597174,0.9928551439423245,1.1281034761377742,559093522697.911,29748755840138.727,0.5035981361940198,1.5035981361940198,0.33492867812988364,1.4921382266935401,1.4918353744741488,0.32982080204732733,0.9947588177956934,0.007884758547180404,0.007884463869614056,29837185374.509357,0.005243744087835012
kq,0.7005534249155089,D15,1.5,0.8409,1.3512215484697407,0.0018747146327013908,-0.0035106309589587603,0.9825083422737592,0.9813920903146202,1.0126454058160217,0.025211571374213176,1e+26,22174628597584.598,556244631583.7224,29962835990369.656,89888507971108.97,1.8392675989597174,0.9840457116753901,1.3296637702950287,563278570683.082,29484800265956.3,0.5081064772374481,1.508106477237448,0.3369168456647692,1.4817271949228836,1.4800437681130771,0.3251119346216461,0.9878181299485891,0.01896072922231773,0.018960870570253308,85206827330.04782,0.012572630065932344
kq,0.7005534249155089,D15,1.5,1.0,1.6068754292659542,0.004727995658679873,-0.003433507221455967,0.9729268021030062,0.9701525614435076,1.0210510014189516,0.04825152377672319,1e+26,18646645187708.887,556244631583.7224,29962835990369.656,89888507971108.97,1.8392675989597174,0.97602028830452,1.568343019741606,567954138112.4756,29244335821741.64,0.5122844330096539,1.5122844330096539,0.33874873127546345,1.4713420572782405,1.4671466163154583,0.32034838870177595,0.9808947048521603,0.030765716385969144,0.03076594034936475,164427915595.33466,0.020344009879380565
kq,0.7005534249155089,D15,1.5,1.1892,1.9108962604830728,0.00900292820369275,-0.0018044967301102943,0.9633597652558648,0.9581664203634527,1.030617778071299,0.08080563635123893,1e+26,15679990907928.764,556244631583.7224,29962835990369.656,89888507971108.97,1.8392675989597174,0.9685409319621049,1.8507812450111765,573275606266.9043,29020233094340.324,0.516240443227404,1.516240443227404,0.3404739964121765,1.4606850374590001,1.4528106778974965,0.31538971485626044,0.9737900249726668,0.04366003519584716,0.04366030562057999,277943401014.237,0.028795097239964207
kq,0.7005534249155089,D15,1.5,1.4142,2.2724432320679124,0.014860031501855664,0.0014524884900279922,0.9535346980546956,0.9451320460732314,1.041675117525511,0.12682866026468145,1e+26,13185295706200.598,556244631583.7224,29962835990369.656,89888507971108.97,1.8392675989597174,0.9613865893897598,2.184696448459613,579426191977.9086,28805868701226.23,0.5200821454326454,1.5200821454326454,0.3421408158732236,1.4494510695634515,1.4366783483121435,0.31008364407831857,0.966300713042301,0.05805321505574823,0.05805321610072123,440927085904.94556,0.03819084821188312
kq,0.7005534249155089,D15,1.5,1.6818,2.7024430969394815,0.022520927321962647,0.006472285393546384,0.9431745193068749,0.9307351955114544,1.0546182111787952,0.19193360804990062,1e+26,11087314298792.299,556244631583.7224,29962835990369.656,89888507971108.97,1.8392675989597174,0.9543475304381156,2.5790698957137272,586625718338.6333,28594958532331.57,0.5239181577495813,1.5239181577495813,0.3437967813988567,1.4373207758984796,1.418364264496512,0.30426108300362337,0.9582138505989864,0.07441945337683653,0.07441972621681736,675559144173.5918,0.048834453217239115
kq,0.7005534249155089,D15,1.5,2.0,3.2137508585319083,0.03227785042422582,0.013454390032271668,0.9319933148512278,0.9146509109302897,1.0699247712081346,0.284058308223281,1e+26,9323322593854.443,556244631583.7224,29962835990369.656,89888507971108.97,1.8392675989597174,0.9472202320242592,3.0441298338867564,595139910182.9673,28381404458902.77,0.5278603466180972,1.5278603466180973,0.3454899184905941,1.4239556290743465,1.397458857808511,0.29773092673536616,0.949303752716231,0.09331329368370911,0.09331348590670441,1014326616256.3745,0.061074612588640775
kq,0.7005534249155089,D15,1.5,2.3784,3.8217925209661456,0.04451564822398413,0.022679724602272744,0.9196876952228559,0.8965384015268957,1.0881874954674073,0.4144892911881715,1e+26,7839995453964.382,556244631583.7224,29962835990369.656,89888507971108.97,1.8392675989597174,0.9398010258912254,3.591724531947396,605298452510.2816,28159104002359.934,0.5320275103188397,1.5320275103188397,0.3472702067915975,1.4089868499831437,1.3735214951964823,0.2902701682333207,0.9393245666554292,0.11540119006268856,0.11540118349150275,1505338359229.7021,0.07532580511693254
kq,0.7005534249155089,D15,1.5,2.8284,4.544886464135825,0.059733653459908664,0.03452743499424504,0.9059355168068468,0.876048999495745,1.110146090391236,0.5992481721384961,1e+26,6592647853100.299,556244631583.7224,29962835990369.656,89888507971108.97,1.8392675989597174,0.9318840501700623,4.235307205761987,617512803053.7828,27921888957286.984,0.5365474383951024,1.5365474383951025,0.34919028530321006,1.3920128977007038,1.3460908460837795,0.28161585165498254,0.9280085984671359,0.1414886616794282,0.14148871272455343,2220260511012.5913,0.09208224031098666
kq,0.7005534249155089,D15,1.5,3.3636,5.404886193878963,0.07858147752769495,0.04950256017490551,0.8903910989322813,0.8528307852712049,1.1367393122332745,0.8611205579311513,1e+26,5543657149396.149,556244631583.7224,29962835990369.656,89888507971108.97,1.8392675989597174,0.9232570290131156,4.990099169514697,632305139939.9318,27663398937275.94,0.5415610001198237,1.5415610001198237,0.35130688962534,1.3725921929678364,1.3146906782756533,0.2714514878320944,0.9150614619785576,0.17256555142060725,0.17256586728219592,3266945729326.8525,0.11194227032618187
kq,0.7005534249155089,D15,1.5,4.0,6.427501717063817,0.10189935807590667,0.06826772186509023,0.872690847251183,0.8265497311476285,1.1691626304975395,1.2324053006518818,1e+26,4661661296927.222,556244631583.7224,29962835990369.656,89888507971108.97,1.8392675989597174,0.913703272752129,5.872829354501138,650340436662.5597,27377141305336.035,0.5472236062961338,1.5472236062961338,0.35368100904698635,1.3502478798656037,1.2788572558093336,0.2593952451904353,0.9001652532437358,0.20984855758351428,0.2098486464739968,4808898008227.188,0.13562917856191348
kq,0.7005534249155089,D15,1.5,4.7568,7.643585041932291,0.13079760586615263,0.09170687025249435,0.8524485725992778,0.7968950021072047,1.2089790770934696,1.7591541837632276,1e+26,3919997726982.191,556244631583.7224,29962835990369.656,89888507971108.97,1.8392675989597174,0.9029989773496231,6.902149476149735,672488121330.2858,27056410257798.28,0.5537104831143237,1.5537104831143238,0.35637944722136566,1.3244582835633396,1.238144118715375,0.24497433221559298,0.8829721890422264,0.25487046267793256,0.2548704498564418,7098061753015.472,0.16403989424418342
