corpus,conv,sample,scheme,statistic,estimate,pop,se,ci_lo,ci_hi,p_zero,n_draws,n_restricted,n_all
edu,P,no25,wild,level100|kappa_f|chin_f,0.20740909756791667,0.1974194213818147,0.006941137311018795,0.19477093015023964,0.22157570302218657,,999,25,36
edu,P,no25,wild,mean|kappa_f|chin_f,0.33930324730445593,0.33884743000212353,0.014787325150776347,0.3124501585676268,0.3681092989791345,,999,25,36
edu,P,no25,wild,bin0|kappa_f|chin_f,0.27224279414945485,0.26720864957889257,0.010375038310757893,0.25248371832155847,0.2932092844626959,,999,25,36
edu,P,no25,wild,bin1|kappa_f|chin_f,0.4018394244334523,0.40561555684040584,0.019243969399874227,0.36830651273526976,0.43817547106149823,,999,25,36
edu,P,no25,wild,bin2|kappa_f|chin_f,0.5114786562179638,0.5228150346451499,0.027510189018350763,0.4648457158366661,0.5619999975566348,,999,25,36
edu,P,no25,wild,n_eval|kappa_f|chin_f,11.0,11.0,0.0,11.0,11.0,,999,25,36
edu,P,floor4,wild,slope|chin_r|local,-0.11776528129212276,-0.12848280548674534,0.01761522680951796,-0.14610724186908325,-0.08926821438969872,0.001,999,29,32
edu,P,floor4,wild,level100|chin_r|local,-0.4101308649994196,-0.4083065103020245,0.008006241467203972,-0.4237250603012293,-0.3955519402195749,,999,29,32
edu,P,floor4,wild,mean|chin_r|local,-0.46648735963710974,-0.46979186879650187,0.011417346835384326,-0.4866768726629095,-0.4450983517918413,,999,29,32
edu,P,floor4,wild,bin0|chin_r|local,-0.46648735963710974,-0.46979186879650187,0.011417346835384326,-0.4866768726629095,-0.4450983517918413,,999,29,32
edu,P,floor4,wild,bin1|chin_r|local,,,,,,,0,29,32
edu,P,floor4,wild,bin2|chin_r|local,,,,,,,0,29,32
edu,P,floor4,wild,n_eval|chin_r|local,3.0,3.0,0.0,3.0,3.0,,999,29,32
edu,P,floor4,wild,slope|chin_r|chin_f,-0.09875256293669568,-0.09589071052502524,0.0023852080831707517,-0.10288701360836164,-0.09411226207619591,0.001,999,29,32
edu,P,floor4,wild,level100|chin_r|chin_f,-0.282252914594868,-0.2736874208991101,0.007400767915783669,-0.2946986087081313,-0.2667094123364001,,999,29,32
edu,P,floor4,wild,mean|chin_r|chin_f,-0.32951088589623073,-0.31957585469058397,0.00853030432856485,-0.34391660761813075,-0.31177310470421826,,999,29,32
edu,P,floor4,wild,bin0|chin_r|chin_f,-0.32951088589623073,-0.31957585469058397,0.00853030432856485,-0.34391660761813075,-0.31177310470421826,,999,29,32
edu,P,floor4,wild,bin1|chin_r|chin_f,,,,,,,0,29,32
edu,P,floor4,wild,bin2|chin_r|chin_f,,,,,,,0,29,32
edu,P,floor4,wild,n_eval|chin_r|chin_f,3.0,3.0,0.0,3.0,3.0,,999,29,32
edu,P,floor4,wild,slope|kappa_r|local,0.1156759389836754,0.10690646563836946,0.01699447035885025,0.08870627562481588,0.14245166579784968,0.001,999,29,32
edu,P,floor4,wild,level100|kappa_r|local,0.17315105716237453,0.1781892352595629,0.012834083507546667,0.1453019606335129,0.1931564885054842,,999,29,32
edu,P,floor4,wild,mean|kappa_r|local,0.22850769847054028,0.22934925110954987,0.014984693248078778,0.1965160525330631,0.2527626748058779,,999,29,32
edu,P,floor4,wild,bin0|kappa_r|local,0.22850769847054028,0.22934925110954987,0.014984693248078778,0.1965160525330631,0.2527626748058779,,999,29,32
edu,P,floor4,wild,bin1|kappa_r|local,,,,,,,0,29,32
edu,P,floor4,wild,bin2|kappa_r|local,,,,,,,0,29,32
edu,P,floor4,wild,n_eval|kappa_r|local,3.0,3.0,0.0,3.0,3.0,,999,29,32
