scenario,scenario_label,estimator,estimator_label,param,truth,R,fail_share,mean,median,bias,mc_se_bias,median_bias,sd,rmse,mae
funding_all,(b) + selection + ME in D,E9_foc_system,FOC system (T ignored),beta,0.3658,400,0.0,0.3545063028965001,0.35449641493209527,-0.011293697103499978,0.0002559129691547798,-0.01130358506790477,0.005118259383095596,0.012396720611938798,0.01130358506790477
funding_all,(b) + selection + ME in D,E9_foc_system,FOC system (T ignored),a,0.5126121076233184,400,0.0,0.5086085801068411,0.5084276398852554,-0.004003527516477324,0.00020556661834842047,-0.00418446773806308,0.004111332366968409,0.005734895707185437,0.004387530442252374
funding_all,(b) + selection + ME in D,E9_foc_system,FOC system (T ignored),gamma,0.17828649103139016,400,0.0,0.1741858877453155,0.1741872032452359,-0.004100603286074667,8.734262883379185e-05,-0.004099287786154246,0.001746852576675837,0.004456322755321227,0.004099287786154246
funding_all,(b) + selection + ME in D,E9_foc_system,FOC system (T ignored),sigma_star,0.7370283018867925,400,0.0,0.7415703733412209,0.74155741202893,0.004542071454428598,9.674519449798629e-05,0.004529110142137527,0.001934903889959726,0.004936082103030494,0.004529110142137527
funding_all,(b) + selection + ME in D,E9_foc_system,FOC system (T ignored),lnMstar,2.8979598554678856,400,0.0,4.148548500374967,4.15150322200807,1.2505886449070815,0.0027628082236651214,1.253543366540184,0.05525616447330243,1.251805723494485,1.253543366540184
funding_all,(b) + selection + ME in D,E9_foc_system,FOC system (T ignored),sd_omega,0.25,400,0.0,0.23897447041311376,0.23832971563350447,-0.01102552958688625,0.0010056613054464955,-0.011670284366495531,0.020113226108929908,0.022914903720482254,0.015528999811489863
funding_all,(b) + selection + ME in D,E9_foc_system,FOC system (T ignored),tfp_growth,0.15,400,0.0,0.15908503469933916,0.15873370912711504,0.009085034699339155,0.00046945963322598313,0.00873370912711506,0.009389192664519663,0.013056584623569735,0.009448991906756563
funding_all,(b) + selection + ME in D,E10_foc_system_T,FOC system (T proxied),alpha,0.3478,400,0.0,0.3460583819098432,0.3457787804644368,-0.0017416180901567567,0.00017867106457329093,-0.0020212195355631957,0.0035734212914658187,0.003971227763418607,0.0030384338758532303
funding_all,(b) + selection + ME in D,E10_foc_system_T,FOC system (T proxied),beta,0.3658,400,0.0,0.35805359843377027,0.35796745002475194,-0.007746401566229744,0.0002547528639318414,-0.007832549975248071,0.005095057278636828,0.00926830334398887,0.007832549975248071
funding_all,(b) + selection + ME in D,E10_foc_system_T,FOC system (T proxied),a,0.5126121076233184,400,0.0,0.508505372078373,0.5083905625893854,-0.0041067355449454475,0.00021633410150370862,-0.004221545033933072,0.004326682030074172,0.005961430514734843,0.004384927440666819
funding_all,(b) + selection + ME in D,E10_foc_system_T,FOC system (T proxied),gamma,0.17828649103139016,400,0.0,0.17596374753314584,0.17597694425340632,-0.002322743498244299,7.798796622600533e-05,-0.0023095467779838397,0.0015597593245201067,0.0027967667736490853,0.0023137307362567916
funding_all,(b) + selection + ME in D,E10_foc_system_T,FOC system (T proxied),sigma_star,0.7370283018867925,400,0.0,0.7396183584947821,0.73962656342055,0.0025900566079895453,8.629189813756023e-05,0.0025982615337575288,0.0017258379627512047,0.003111183635624769,0.002601136389329517
