design,spec,M_bin,delta,delta_pop,se,lo_pct,hi_pct,lo_basic,hi_basic,lo_basic_pub,hi_basic_pub,n_points,M_max_evaluated,n_draws,pct_contains_estimate,basic_contains_estimate
"Marin, three corpora pooled",kappa_M100,">=1,024",-1.32854,-1.39169,0.0718678,-1.53373,-1.25753,-1.46269,-1.18649,,,,,999,True,True
"Marin, three corpora pooled",kappa_M100,M>=256,-0.809471,-0.801957,0.0358971,-0.868665,-0.730475,-0.880953,-0.742762,,,,,999,True,True
Farseer,chin_full,M<16,0.158164,0.155093,0.00482266,0.147171,0.165355,0.147902,0.166086,0.147902,0.166086,,,999,True,True
Farseer,chin_full,16-64,0.00801892,0.0153726,0.00356684,0.0100089,0.0233703,2.11666e-05,0.0133826,2.11666e-05,0.0133826,,,999,False,True
Farseer,chin_full,64-256,-0.194767,-0.18095,0.00573817,-0.190838,-0.168568,-0.207149,-0.18488,-0.207149,-0.18488,,,999,False,True
Farseer,chin_full,"256-1,024",-0.487197,-0.473359,0.00725395,-0.486397,-0.459129,-0.501427,-0.474159,-0.501427,-0.474159,,,999,False,True
Farseer,chin_full,">=1,024",-0.821391,-0.838213,0.0397782,-0.913186,-0.7634,-0.896203,-0.746418,-0.896203,-0.746418,,,999,True,True
Farseer,chin_full,M>=1000,-0.821391,-0.838213,0.0397782,-0.913186,-0.7634,-0.896203,-0.746418,-0.896203,-0.746418,,,999,True,True
Farseer,chin_M100,M<16,0.07887,0.0763995,0.00510168,0.0674862,0.0868735,0.0683961,0.0877833,0.0683961,0.0877833,,,999,True,True
Farseer,chin_M100,16-64,-0.230089,-0.227257,0.00472364,-0.235479,-0.217066,-0.24028,-0.221867,-0.24028,-0.221867,,,999,True,True
Farseer,chin_M100,64-256,-0.545065,-0.538759,0.00710177,-0.551451,-0.524638,-0.559186,-0.532373,-0.559186,-0.532373,,,999,True,True
Farseer,chin_M100,"256-1,024",-0.945023,-0.941841,0.00983855,-0.960274,-0.921781,-0.965084,-0.92659,-0.965084,-0.92659,,,999,True,True
Farseer,chin_M100,">=1,024",-1.35946,-1.39009,0.0428728,-1.47397,-1.31172,-1.43783,-1.27557,-1.43783,-1.27557,,,999,True,True
Farseer,chin_M100,M>=1000,-1.35946,-1.39009,0.0428728,-1.47397,-1.31172,-1.43783,-1.27557,-1.43783,-1.27557,,,999,True,True
Farseer,kappa_full,M<16,-0.0211925,-0.0236624,0.00470913,-0.0315304,-0.013888,-0.030967,-0.0133246,-0.030967,-0.0133246,,,999,True,True
Farseer,kappa_full,16-64,0.0530395,0.0536775,0.00272058,0.0498451,0.0599184,0.0467986,0.0568719,0.0467986,0.0568719,,,999,True,True
Farseer,kappa_full,64-256,0.00413016,0.00641266,0.00368133,0.000710719,0.0149392,-0.00439637,0.0098321,-0.00439637,0.0098321,,,999,True,True
Farseer,kappa_full,"256-1,024",-0.138759,-0.141231,0.00617351,-0.151298,-0.127806,-0.152185,-0.128692,-0.152185,-0.128692,,,999,True,True
Farseer,kappa_full,">=1,024",-0.355461,-0.3926,0.0400196,-0.469498,-0.316792,-0.431269,-0.278563,-0.431269,-0.278563,,,999,True,True
Farseer,kappa_full,M>=1000,-0.355461,-0.3926,0.0400196,-0.469498,-0.316792,-0.431269,-0.278563,-0.431269,-0.278563,,,999,True,True
Farseer,kappa_M100,M<16,0.0225743,0.0195375,0.00498519,0.0113794,0.0288466,0.0132652,0.0307324,0.0132652,0.0307324,,,999,True,True
Farseer,kappa_M100,16-64,-0.0392086,-0.0433173,0.00365938,-0.0467228,-0.0325983,-0.0499275,-0.0358031,-0.0499275,-0.0358031,,,999,True,True
Farseer,kappa_M100,64-256,-0.184096,-0.189406,0.00749934,-0.198359,-0.169375,-0.204127,-0.175143,-0.204127,-0.175143,,,999,True,True
Farseer,kappa_M100,"256-1,024",-0.419023,-0.431862,0.0106448,-0.444463,-0.403244,-0.447641,-0.406422,-0.447641,-0.406422,,,999,True,True
Farseer,kappa_M100,">=1,024",-0.704543,-0.754256,0.0384621,-0.815916,-0.672058,-0.786742,-0.642884,-0.786742,-0.642884,,,999,True,True
Farseer,kappa_M100,M>=1000,-0.704543,-0.754256,0.0384621,-0.815916,-0.672058,-0.786742,-0.642884,-0.786742,-0.642884,,,999,True,True
