item,statistic,reviewer,builder,abs_diff,agree,tol,note
T1.3,top-5 + Farseer 1e21: RE mean,0.606495,0.606495,5.16855e-08,True,1e-06,
T1.3,top-5 + Farseer 1e21: HKSJ lo,0.558281,0.558281,3.24776e-07,True,1e-06,
T1.3,top-5 + Farseer 1e21: HKSJ hi,0.654709,0.654709,2.21405e-07,True,1e-06,
T1.3,top-5 + Farseer 1e21: Q,21.0786,21.0785,9.17693e-05,True,0.0001,
T1.3,top-5 + Farseer 1e21: p(Q),0.000782826,0.000782843,1.71533e-08,True,1e-06,
T1.3,"top-budget mean, 132-run Chinchilla (all 3 top budgets re-estimated)",0.597869,0.597869,4.37848e-07,True,1e-06,
T1.3,"top-budget mean, only the 6e20 budget substituted (R4's calculation)",0.597805,,,,0.0005,
T1.2,balanced slope [studies (4; Marin one cluster)],-0.0337154,-0.0337151,2.85873e-07,True,0.0005,
T1.2,balanced CR2 p [studies (4; Marin one cluster)],0.0645019,0.0644982,3.72579e-06,True,0.01,
T1.2,balanced wild p enumerated [studies (4; Marin one cluster)],0.0493827,0.0493827,1.60494e-08,True,0.01,
T1.2,balanced slope [designs (6)],-0.0337154,-0.0337151,2.85873e-07,True,0.0005,
T1.2,balanced CR2 p [designs (6)],0.049694,0.0496913,2.73735e-06,True,0.01,
T1.2,balanced wild p enumerated [designs (6)],0.0330504,0.0330933,4.28885e-05,True,0.01,
T1.2,weighted_S slope [studies (4; Marin one cluster)],0.136886,0.136885,1.01679e-06,True,0.0005,
T1.2,weighted_S CR2 p [studies (4; Marin one cluster)],0.149891,0.149887,4.0928e-06,True,0.01,
T1.2,weighted_S wild p enumerated [studies (4; Marin one cluster)],0.0601852,0.0601852,1.48148e-08,True,0.01,
T1.2,weighted_S slope [designs (6)],0.136886,0.136885,1.01679e-06,True,0.0005,
T1.2,weighted_S CR2 p [designs (6)],0.125593,0.12559,2.88506e-06,True,0.01,
T1.2,weighted_S wild p enumerated [designs (6)],0.0617284,0.0617284,4.93827e-09,True,0.01,
T1.2,[budgets <= 3e20 (common window)] weighted slope [studies],-0.00765221,-0.00765212,9.01489e-08,True,0.0005,
T1.2,[budgets <= 3e20 (common window)] weighted CR2 p [studies],0.577331,0.57734,9.32685e-06,True,0.01,
T1.2,[budgets <= 3e20 (common window)] weighted wild p enumerated [studies],0.87037,0.87037,3.7037e-07,True,0.01,
T1.2,[budgets <= 3e20 (common window)] weighted slope [designs],-0.00765221,-0.00765212,9.01489e-08,True,0.0005,
T1.2,[budgets <= 3e20 (common window)] weighted CR2 p [designs],0.55875,0.55876,1.00558e-05,True,0.01,
