set,tau,level,year,n,share_gt1,share_gt1_cw,share_lt1,share_lt1_cw
S2(a)+Comma,1.0,models below 15B,2024,33,0.15151515151515152,0.013008027929409022,0.0,0.0
S2(a)+Comma,1.0,models below 15B,2025,10,0.1,0.015754862941488708,0.0,0.0
S2(a)+Comma,1.0,decisions (49),all,49,0.061224489795918366,0.00048234434155915054,0.0,0.0
S2(a)+Comma,1.0,decisions (49),2023,16,0.0,0.0,0.0,0.0
S2(a)+Comma,1.0,decisions (49),2024,27,0.1111111111111111,0.0006608204725096189,0.0,0.0
S2(a)+Comma,1.0,decisions (49),2025,6,0.0,0.0,0.0,0.0
S2(a)+Comma,1.0,decisions (56),all,56,0.07142857142857142,0.00048743669214268464,0.0,0.0
S2(a)+Comma,1.0,decisions (56),2023,19,0.0,0.0,0.0,0.0
S2(a)+Comma,1.0,decisions (56),2024,30,0.13333333333333333,0.0006681444211404042,0.0,0.0
S2(a)+Comma,1.0,decisions (56),2025,7,0.0,0.0,0.0,0.0
S2(a)+Comma,1.3,models,all,77,0.05194805194805195,0.002305991294748869,0.0,0.0
S2(a)+Comma,1.3,models,2023,24,0.0,0.0,0.0,0.0
S2(a)+Comma,1.3,models,2024,40,0.075,0.0013050827428346835,0.0,0.0
S2(a)+Comma,1.3,models,2025,13,0.07692307692307693,0.007664249498882077,0.0,0.0
S2(a)+Comma,1.3,models below 15B,all,59,0.06779661016949153,0.012915538182316002,0.0,0.0
S2(a)+Comma,1.3,models below 15B,2023,16,0.0,0.0,0.0,0.0
S2(a)+Comma,1.3,models below 15B,2024,33,0.09090909090909091,0.011811964979413543,0.0,0.0
S2(a)+Comma,1.3,models below 15B,2025,10,0.1,0.015754862941488708,0.0,0.0
S2(a)+Comma,1.3,decisions (49),all,49,0.04081632653061224,0.0003910276417121993,0.0,0.0
S2(a)+Comma,1.3,decisions (49),2023,16,0.0,0.0,0.0,0.0
S2(a)+Comma,1.3,decisions (49),2024,27,0.07407407407407407,0.0005357149419962455,0.0,0.0
S2(a)+Comma,1.3,decisions (49),2025,6,0.0,0.0,0.0,0.0
S2(a)+Comma,1.3,decisions (56),all,56,0.03571428571428571,0.0003910276417121993,0.0,0.0
S2(a)+Comma,1.3,decisions (56),2023,19,0.0,0.0,0.0,0.0
S2(a)+Comma,1.3,decisions (56),2024,30,0.06666666666666667,0.0005359935793368973,0.0,0.0
S2(a)+Comma,1.3,decisions (56),2025,7,0.0,0.0,0.0,0.0
S2(a)+Comma,1.84,models,all,77,0.03896103896103896,0.001931938154981783,0.0,0.0
S2(a)+Comma,1.84,models,2023,24,0.0,0.0,0.0,0.0
S2(a)+Comma,1.84,models,2024,40,0.05,0.0007923566338361593,0.0,0.0
S2(a)+Comma,1.84,models,2025,13,0.07692307692307693,0.007664249498882077,0.0,0.0
S2(a)+Comma,1.84,models below 15B,all,59,0.05084745762711865,0.010820518300897452,0.0,0.0
S2(a)+Comma,1.84,models below 15B,2023,16,0.0,0.0,0.0,0.0
S2(a)+Comma,1.84,models below 15B,2024,33,0.06060606060606061,0.007171414120264914,0.0,0.0
S2(a)+Comma,1.84,models below 15B,2025,10,0.1,0.015754862941488708,0.0,0.0
S2(a)+Comma,1.84,decisions (49),all,49,0.02040816326530612,1.697450194511344e-05,0.0,0.0
S2(a)+Comma,1.84,decisions (49),2023,16,0.0,0.0,0.0,0.0
S2(a)+Comma,1.84,decisions (49),2024,27,0.037037037037037035,2.325537469710266e-05,0.0,0.0
S2(a)+Comma,1.84,decisions (49),2025,6,0.0,0.0,0.0,0.0
S2(a)+Comma,1.84,decisions (56),all,56,0.017857142857142856,1.697450194511344e-05,0.0,0.0
S2(a)+Comma,1.84,decisions (56),2023,19,0.0,0.0,0.0,0.0
S2(a)+Comma,1.84,decisions (56),2024,30,0.03333333333333333,2.326747033837284e-05,0.0,0.0
S2(a)+Comma,1.84,decisions (56),2025,7,0.0,0.0,0.0,0.0
S2(a)+Comma,3.4,models,all,77,0.0,0.0,0.0,0.0
S2(a)+Comma,3.4,models,2023,24,0.0,0.0,0.0,0.0
S2(a)+Comma,3.4,models,2024,40,0.0,0.0,0.0,0.0
S2(a)+Comma,3.4,models,2025,13,0.0,0.0,0.0,0.0
S2(a)+Comma,3.4,models below 15B,all,59,0.0,0.0,0.0,0.0
S2(a)+Comma,3.4,models below 15B,2023,16,0.0,0.0,0.0,0.0
S2(a)+Comma,3.4,models below 15B,2024,33,0.0,0.0,0.0,0.0
S2(a)+Comma,3.4,models below 15B,2025,10,0.0,0.0,0.0,0.0
S2(a)+Comma,3.4,decisions (49),all,49,0.0,0.0,0.0,0.0
S2(a)+Comma,3.4,decisions (49),2023,16,0.0,0.0,0.0,0.0
S2(a)+Comma,3.4,decisions (49),2024,27,0.0,0.0,0.0,0.0
S2(a)+Comma,3.4,decisions (49),2025,6,0.0,0.0,0.0,0.0
S2(a)+Comma,3.4,decisions (56),all,56,0.0,0.0,0.0,0.0
S2(a)+Comma,3.4,decisions (56),2023,19,0.0,0.0,0.0,0.0
S2(a)+Comma,3.4,decisions (56),2024,30,0.0,0.0,0.0,0.0
S2(a)+Comma,3.4,decisions (56),2025,7,0.0,0.0,0.0,0.0
S2(a)+Comma,4.4,models,all,77,0.0,0.0,0.0,0.0
S2(a)+Comma,4.4,models,2023,24,0.0,0.0,0.0,0.0
S2(a)+Comma,4.4,models,2024,40,0.0,0.0,0.0,0.0
S2(a)+Comma,4.4,models,2025,13,0.0,0.0,0.0,0.0
S2(a)+Comma,4.4,models below 15B,all,59,0.0,0.0,0.0,0.0
S2(a)+Comma,4.4,models below 15B,2023,16,0.0,0.0,0.0,0.0
S2(a)+Comma,4.4,models below 15B,2024,33,0.0,0.0,0.0,0.0
S2(a)+Comma,4.4,models below 15B,2025,10,0.0,0.0,0.0,0.0
S2(a)+Comma,4.4,decisions (49),all,49,0.0,0.0,0.0,0.0
S2(a)+Comma,4.4,decisions (49),2023,16,0.0,0.0,0.0,0.0
S2(a)+Comma,4.4,decisions (49),2024,27,0.0,0.0,0.0,0.0
S2(a)+Comma,4.4,decisions (49),2025,6,0.0,0.0,0.0,0.0
S2(a)+Comma,4.4,decisions (56),all,56,0.0,0.0,0.0,0.0
S2(a)+Comma,4.4,decisions (56),2023,19,0.0,0.0,0.0,0.0
S2(a)+Comma,4.4,decisions (56),2024,30,0.0,0.0,0.0,0.0
S2(a)+Comma,4.4,decisions (56),2025,7,0.0,0.0,0.0,0.0
S2(a)+Comma,8.0,models,all,77,0.0,0.0,0.0,0.0
S2(a)+Comma,8.0,models,2023,24,0.0,0.0,0.0,0.0
S2(a)+Comma,8.0,models,2024,40,0.0,0.0,0.0,0.0
S2(a)+Comma,8.0,models,2025,13,0.0,0.0,0.0,0.0
S2(a)+Comma,8.0,models below 15B,all,59,0.0,0.0,0.0,0.0
S2(a)+Comma,8.0,models below 15B,2023,16,0.0,0.0,0.0,0.0
S2(a)+Comma,8.0,models below 15B,2024,33,0.0,0.0,0.0,0.0
S2(a)+Comma,8.0,models below 15B,2025,10,0.0,0.0,0.0,0.0
S2(a)+Comma,8.0,decisions (49),all,49,0.0,0.0,0.0,0.0
S2(a)+Comma,8.0,decisions (49),2023,16,0.0,0.0,0.0,0.0
S2(a)+Comma,8.0,decisions (49),2024,27,0.0,0.0,0.0,0.0
S2(a)+Comma,8.0,decisions (49),2025,6,0.0,0.0,0.0,0.0
S2(a)+Comma,8.0,decisions (56),all,56,0.0,0.0,0.0,0.0
S2(a)+Comma,8.0,decisions (56),2023,19,0.0,0.0,0.0,0.0
S2(a)+Comma,8.0,decisions (56),2024,30,0.0,0.0,0.0,0.0
S2(a)+Comma,8.0,decisions (56),2025,7,0.0,0.0,0.0,0.0
S2(a)+Comma,10.0,models,all,77,0.0,0.0,0.0,0.0
S2(a)+Comma,10.0,models,2023,24,0.0,0.0,0.0,0.0
S2(a)+Comma,10.0,models,2024,40,0.0,0.0,0.0,0.0
S2(a)+Comma,10.0,models,2025,13,0.0,0.0,0.0,0.0
S2(a)+Comma,10.0,models below 15B,all,59,0.0,0.0,0.0,0.0
S2(a)+Comma,10.0,models below 15B,2023,16,0.0,0.0,0.0,0.0
S2(a)+Comma,10.0,models below 15B,2024,33,0.0,0.0,0.0,0.0
S2(a)+Comma,10.0,models below 15B,2025,10,0.0,0.0,0.0,0.0
S2(a)+Comma,10.0,decisions (49),all,49,0.0,0.0,0.0,0.0
S2(a)+Comma,10.0,decisions (49),2023,16,0.0,0.0,0.0,0.0
S2(a)+Comma,10.0,decisions (49),2024,27,0.0,0.0,0.0,0.0
