model,family,lab,date,N_total,N_active,N,N_src,N_nonemb,D,D_src,D_card_verified,epoch_D,D_vs_epoch,M,moe,distilled,synthetic,code
xglm-7.5B,XGLM,Meta,2021-12-20 00:00:00,7500000000.0,7500000000.0,7500000000.0,reported,6451391232.0,500000000000.0,ObsScaling,,500000000000.0,0.0,66.66666666666667,False,False,False,False
CodeLlama-7b-hf,CodeLlama,Meta,2023-08-24 16:31:11,6738546688.0,6738546688.0,6738546688.0,HF safetensors (float tensors),6476271616.0,2520000000000.0,ObsScaling,,,,373.9678771518515,False,False,False,True
CodeLlama-13b-hf,CodeLlama,Meta,2023-08-24 16:31:44,13016028160.0,13016028160.0,13016028160.0,HF safetensors (float tensors),12688184320.0,2520000000000.0,ObsScaling,,,,193.6074483723305,False,False,False,True
CodeLlama-34b-hf,CodeLlama,Meta,2023-08-24 16:34:39,33743970304.0,33743970304.0,33743970304.0,HF safetensors (float tensors),33219682304.0,2520000000000.0,ObsScaling,,,,74.6800088222363,False,False,False,True
CodeLlama-70b-hf,CodeLlama,Meta,2024-01-29 10:59:03,68976910336.0,68976910336.0,68976910336.0,HF safetensors (float tensors),68452360192.0,3020000000000.0,ObsScaling,,,,43.78276709248052,False,False,False,True
starcoderbase-1b,StarCoder,BigCode,2023-07-03 13:08:44,1137207296.0,1137207296.0,1137207296.0,HF safetensors (float tensors),,1000000000000.0,ObsScaling,,,,879.3471546633482,False,False,False,True
starcoderbase-3b,StarCoder,BigCode,2023-06-30 16:48:35,3000000000.0,3000000000.0,3000000000.0,reported,,1000000000000.0,ObsScaling,,,,333.3333333333333,False,False,False,True
starcoderbase-7b,StarCoder,BigCode,2023-07-26 12:10:50,7528589824.0,7528589824.0,7528589824.0,HF safetensors (float tensors),,1000000000000.0,ObsScaling,,,,132.82699992661998,False,False,False,True
starcoderbase,StarCoder,BigCode,2023-05-03 15:16:10,15500000000.0,15500000000.0,15500000000.0,reported,,1000000000000.0,ObsScaling,,,,64.51612903225806,False,False,False,True
starcoder2-15b,StarCoder2,BigCode,2024-02-20 17:58:19,15957889024.0,15957889024.0,15957889024.0,HF safetensors (float tensors),15353909248.0,4300000000000.0,ObsScaling,,,,269.4591993673461,False,False,False,True
starcoder2-7b,StarCoder2,BigCode,2024-02-20 18:00:27,7173923840.0,7173923840.0,7173923840.0,HF safetensors (float tensors),6947431424.0,3700000000000.0,ObsScaling,,,,515.7567995592215,False,False,False,True
starcoder2-3b,StarCoder2,BigCode,2023-11-29 15:22:51,3030371328.0,3030371328.0,3030371328.0,HF safetensors (float tensors),2879376384.0,3300000000000.0,ObsScaling,,,,1088.975456409809,False,False,False,True
deepseek-coder-1.3b-base,DeepSeek-Coder,DeepSeek,2023-10-28 07:42:03,1300000000.0,1300000000.0,1300000000.0,reported,1167879424.0,2000000000000.0,ObsScaling,,,,1538.4615384615386,False,False,False,True
deepseek-coder-6.7b-base,DeepSeek-Coder,DeepSeek,2023-10-23 16:15:39,6740512768.0,6740512768.0,6740512768.0,HF safetensors (float tensors),6476271616.0,2000000000000.0,ObsScaling,,,,296.713331587298,False,False,False,True
deepseek-coder-33b-base,DeepSeek-Coder,DeepSeek,2023-10-28 08:14:27,33342991360.0,33342991360.0,33342991360.0,HF safetensors (float tensors),32880569344.0,2000000000000.0,ObsScaling,,,,59.98262058752488,False,False,False,True
open_llama_3b_v2,OpenLlamaV2,OpenLM Research,2023-07-16 00:39:43,3000000000.0,3000000000.0,3000000000.0,reported,2795200000.0,1000000000000.0,ObsScaling,,,,333.3333333333333,False,False,False,False
open_llama_7b_v2,OpenLlamaV2,OpenLM Research,2023-07-06 08:23:04,7000000000.0,7000000000.0,7000000000.0,reported,6737856000.0,1000000000000.0,ObsScaling; fix: ObsScaling lists 13B; a 7B model,,,,142.85714285714286,False,False,False,False
open_llama_7b,OpenLlama,OpenLM Research,2023-06-07 08:54:38,7000000000.0,7000000000.0,7000000000.0,reported,6737856000.0,1000000000000.0,ObsScaling,,,,142.85714285714286,False,False,False,False
open_llama_3b,OpenLlama,OpenLM Research,2023-06-07 09:06:48,3000000000.0,3000000000.0,3000000000.0,reported,2795200000.0,1000000000000.0,ObsScaling,,,,333.3333333333333,False,False,False,False
open_llama_13b,OpenLlama,OpenLM Research,2023-05-01 00:00:00,13000000000.0,13000000000.0,13000000000.0,reported,12672320000.0,1000000000000.0,ObsScaling; fix: ObsScaling 0.6T; final OpenLLaMA-13B trained on 1T (Epoch 1e12),,1000000000000.0,0.0,76.92307692307692,False,False,False,False
deepseek-llm-67b-base,DeepSeek-LLM,DeepSeek,2024-01-05 00:00:00,67000000000.0,67000000000.0,67000000000.0,reported,65322278400.0,2000000000000.0,ObsScaling,,2000000000000.0,0.0,29.850746268656717,False,False,False,False
deepseek-llm-7b-base,DeepSeek-LLM,DeepSeek,2024-01-05 00:00:00,7000000000.0,7000000000.0,7000000000.0,reported,6161139200.0,2000000000000.0,ObsScaling,,2000000000000.0,0.0,285.7142857142857,False,False,False,False
deepseek-moe-16b-base,DeepSeek-MoE,DeepSeek,2024-01-11 00:00:00,16375728128.0,2800000000.0,2800000000.0,HF safetensors (float tensors),,2000000000000.0,ObsScaling,,2000000000000.0,0.0,714.2857142857143,True,False,False,False
stablelm-base-alpha-3b,StableLM-alpha,Stability AI,2023-04-17 22:14:52,3000000000.0,3000000000.0,3000000000.0,reported,2584763904.0,1500000000000.0,ObsScaling,,,,500.0,False,False,False,False
stablelm-base-alpha-7b-v2,StableLM-alpha-v2,Stability AI,2023-08-05 00:00:00,6889414656.0,6889414656.0,6889414656.0,HF safetensors (float tensors),6476275712.0,1100000000000.0,ObsScaling,,1100000000000.0,0.0,159.66523353939925,False,False,False,False
stablelm-2-1_6b,StableLM-2,Stability AI,2024-01-18 00:00:00,1644515328.0,1644515328.0,1644515328.0,HF safetensors (float tensors),1233473536.0,2000000000000.0,ObsScaling,,2000000000000.0,0.0,1216.1637936402378,False,False,False,False
