scenario,estimator,param,R,n_fail_v1,n_fail_v2,bias_v1,bias_v2,median_bias_v1,median_bias_v2,max_abs_diff,share_diff_gt_1e4
exog,E6_acf,gamma,100,0,0,-0.0014018575339948497,-0.0014018463258609456,-0.002004824846470424,-0.0020048247743953557,1.1327929171356388e-06,0.0
exog,E6_acf,sigma_star,100,0,0,-0.008723043074624076,-0.008723055281819112,-0.00327651886363306,-0.0032765188770889075,6.471181868139553e-07,0.0
exog,E6_acf,lnMstar,100,0,0,0.19304390633530805,0.19304370989570963,0.17232683812794747,0.17232839361191932,5.4496886062516126e-05,0.0
exog,E6_acf,sd_omega,100,0,0,-0.0018689593313317373,-0.0018689593732461546,0.00018636699348514862,0.00018636699386463673,2.3272209714875203e-09,0.0
exog,E6_acf,tfp_growth,100,0,0,0.0003449002878224347,0.00034489846794740766,0.0005399455850764734,0.0005399456137876318,2.1078807335705996e-07,0.0
exog,E6b_acf_lagonly,alpha,100,0,0,0.023364084712499317,0.023364133360742133,0.0008556897060655322,0.0008556910764963288,9.776920868176386e-06,0.0
exog,E6b_acf_lagonly,beta,100,0,0,0.01352175058038899,0.013521646490542353,-0.014731897119018428,-0.01473191563512638,1.2907359629499293e-05,0.0
exog,E6b_acf_lagonly,a,100,0,0,-0.013702186658672172,-0.01370230791763346,-0.010142380665490114,-0.010142294212197644,1.6578445463433233e-05,0.0
exog,E6b_acf_lagonly,gamma,100,0,0,-0.0024467947593137,-0.002446803800028553,-0.0026830474492514494,-0.0026830489814473474,1.2553057022468561e-06,0.0
exog,E6b_acf_lagonly,sigma_star,100,0,0,-0.009444246448368866,-0.009444231500577306,-0.003193403182846999,-0.003193403772032366,8.66468918281349e-07,0.0
exog,E6b_acf_lagonly,lnMstar,100,0,0,0.24427018225734115,0.24427188597252605,0.21384767706183694,0.2138477117867732,0.00022714892506581208,0.01
exog,E6b_acf_lagonly,sd_omega,100,0,0,-0.0016589214858556956,-0.0016589216996340487,0.0005011703807004941,0.0005011703407573898,4.0454896710340194e-08,0.0
exog,E6b_acf_lagonly,tfp_growth,100,0,0,0.0009842140923789053,0.000984213829333178,0.0025735834724958245,0.002573583462364054,9.657924310291222e-08,0.0
exog,E7_iv_path,alpha,100,0,0,-0.008215290133546934,-0.008215290133546934,-0.01553523993648237,-0.01553523993648237,0.0,0.0
exog,E7_iv_path,beta,100,0,0,-0.009195856506783244,-0.009195856506783244,-0.01575168845918129,-0.01575168845918129,0.0,0.0
exog,E7_iv_path,a,100,0,0,-0.00030008289295639813,-0.00030008289295639813,-0.00041605409744654986,-0.00041605409744654986,0.0,0.0
exog,E7_iv_path,gamma,100,0,0,-0.004353663680096455,-0.004353663680096455,-0.008084547310229784,-0.008084547310229784,0.0,0.0
exog,E7_iv_path,sigma_star,100,0,0,0.008192412806269199,0.008192412806269199,0.008830952713741902,0.008830952713741902,0.0,0.0
exog,E7_iv_path,lnMstar,100,0,0,1.2807869704695796,1.2807869704695796,1.2775693774378953,1.2775693774378953,0.0,0.0
exog,E7_iv_path,sd_omega,100,0,0,0.006027937248265041,0.006027937248265041,0.00760944399412386,0.00760944399412386,0.0,0.0
exog,E7_iv_path,tfp_growth,100,0,0,0.003648498538389388,0.003648498538389388,0.006659665486980243,0.006659665486980243,0.0,0.0
exog,E8_heckman,alpha,100,0,0,0.01067567530927823,0.012073508357587437,0.005944487117689939,0.006557004320528914,0.1397930027957297,0.03
exog,E8_heckman,beta,100,0,0,0.006360643103306322,0.004224230555015156,-0.006295696223871522,-0.0069444339726703885,0.2134352122260097,0.14
exog,E8_heckman,a,100,0,0,-0.006900648133409602,-0.009343531469223239,-0.00947564711002552,-0.01000160340332601,0.2441801921776408,0.15
exog,E8_heckman,gamma,100,0,0,-0.000559648978442365,-0.0006911991330160705,-0.0006956581308544957,-0.0006996790680480619,0.013128114246656636,0.01
exog,E8_heckman,sigma_star,100,0,0,-0.004367242261976926,-0.004167511884892738,-0.0023457945579579698,-0.002169031849480918,0.019915466098532897,0.01
exog,E8_heckman,lnMstar,100,0,0,0.04715052344670685,0.07905266582603318,-0.0008362306907552242,0.0244627648194784,3.1899893044577343,0.6
exog,E8_heckman,sd_omega,100,0,0,-0.0030771778053089293,-0.003074819312854934,-0.00034317603170325173,-0.0003433179674003084,0.00023464331920824977,0.01
exog,E8_heckman,tfp_growth,100,0,0,-0.0006190416509420482,-0.0006303187647400224,7.374155211274658e-05,7.386419221634688e-05,0.0011222736272476774,0.01
exog,E9_foc_system,alpha,100,0,0,-0.002823936192931674,-0.0028238807629491496,-0.0021740339421460753,-0.002173853639537371,1.5094228237311214e-06,0.0
exog,E9_foc_system,beta,100,0,0,-0.0063356070503236325,-0.006335563393865406,-0.006303140176042887,-0.0063030991484165355,1.0800911837693938e-06,0.0
exog,E9_foc_system,a,100,0,0,-0.0023325345226760806,-0.002332544141916858,-0.0024967825952227907,-0.0024969684405941606,4.933244814875337e-07,0.0
exog,E9_foc_system,gamma,100,0,0,-0.0022587605525524303,-0.002258735663958315,-0.002260650805582548,-0.0022605503191624604,6.048584008100377e-07,0.0
exog,E9_foc_system,sigma_star,100,0,0,0.0024989632539405937,0.002498936107587284,0.0025363854703144284,0.0025364840703001046,6.538897339147809e-07,0.0
exog,E9_foc_system,lnMstar,100,0,0,1.2519617063885047,1.2519612481963807,1.2480757039051134,1.2480730499071386,1.6659443621946934e-05,0.0
