alpha,beta,ssr,tilt_range,tau_own,tau_ref,delta_ssr,lr_gaussian
1.35,0.16,0.0209481,0.803437,2.89839,6.55111,0.00129265,57.4133
1.35,0.18,0.0237218,0.944694,3.43802,9.11668,0.00406636,180.608
1.35,0.2,0.0293136,1.16302,4.48468,15.1935,0.0096581,428.966
1.35,0.3,0.110111,188.861,2.63015e+99,7.73939e+191,0.0904558,4017.6
1.35,0.5,0.934497,587.552,7.24818e+275,inf,0.914841,40632.8
1.35,0.8,3.45058,947.218,inf,inf,3.43092,152385
1.35,1,5.54017,252.039,1.4341e+93,1.19824e+256,5.52052,245194
1.35,1.0554,6.1398,1013.38,inf,inf,6.12015,271827
1.35,1.2,7.70605,177.351,2.5702e+60,1.56352e+180,7.68639,341392
1.35,1.5,9.30019,2535.42,inf,inf,9.28053,412196
1.45,0.04,3.45685,0.344158,1.58718,2.23705,3.4372,152664
1.45,0.06,1.39228,0.453722,1.82386,2.89064,1.37262,60965.1
1.45,0.08,0.280072,0.544596,2.03784,3.57541,0.260417,11566.4
1.45,0.0941,0.0435283,0.471017,1.84059,3.01,0.0238728,1060.31
1.45,0.1,0.0341363,0.501618,1.91028,3.23339,0.0144808,643.167
1.45,0.12,0.026334,0.609135,2.17269,4.15814,0.00667849,296.626
1.45,0.14,0.0220089,0.681442,2.35646,4.92453,0.00235345,104.529
1.45,0.16,0.0209382,0.777872,2.6282,6.17078,0.00128273,56.9725
1.45,0.18,0.0230656,0.913704,3.06825,8.4791,0.00341008,151.459
1.45,0.2,0.0283241,1.12189,3.89566,13.7997,0.00866861,385.017
1.45,0.3,0.110111,237.769,1.03098e+118,3.80011e+241,0.0904553,4017.58
1.45,0.5,0.934497,473.013,4.94584e+210,inf,0.914841,40632.8
1.45,0.8,3.45058,776.564,6.087e+299,inf,3.43092,152385
1.45,1,5.54017,103.733,5.96898e+36,2.48478e+105,5.52052,245194
1.45,1.0554,6.1398,1442.16,inf,inf,6.12015,271827
1.45,1.2,7.70605,92.2917,1.77992e+30,5.90272e+93,7.68639,341392
1.45,1.5,10.3141,209.902,6.35077e+61,1.84611e+213,10.2945,457229
