cell,statistic,corpus,scheme,n_rep,noise_free_value,mean_estimate,mean_bias,mc_sd,mc_sd_se,mean_boot_se,factor,factor_mc_se,coverage,coverage_mc_se,mean_halfwidth,truth,kappa,noise_sd,rho_trunk,applied_factor,coverage_calibrated,coverage_calibrated_mc_se,reject_zero,reject_zero_mc_se,mde80_oracle,mde80_uncalibrated,reject_zero_calibrated,reject_zero_calibrated_mc_se,mde80_calibrated
chin_s010_r5,mf_P6,edu,cr2cv,150,0.7386682096622947,0.740204539677151,0.0015363300148563597,0.021032938758309947,0.0012184054284004816,0.01764455768379817,1.192035478317663,0.0818917861998952,0.8,0.03265986323710904,0.030990231230383625,chin,1.0,0.01,0.5,1.743444986930914,0.9533333333333334,0.017221863795553384,,,,,,,
chin_s010_r5,mf_P6,web,wcu,150,0.7392861288105192,0.7385446817741597,-0.0007414470363594217,0.017654319883384496,0.0010226872919570382,0.008558504432664168,2.062780947569002,0.15060749576532834,0.5466666666666666,0.04064662529839529,0.014631805390434304,chin,1.0,0.01,0.5,1.743444986930914,0.7933333333333333,0.033061110644336145,,,,,,,
chin_s010_r5,mf_P6,web,cr2cv,150,0.7392861288105192,0.7385446817741597,-0.0007414470363594217,0.017654319883384496,0.0010226872919570382,0.013928673872670464,1.2674803103850498,0.09293356386473642,0.7866666666666666,0.03344868928395872,0.02451053991834084,chin,1.0,0.01,0.5,1.743444986930914,0.9333333333333333,0.02036700308869262,,,,,,,
chin_s010_r5,mf_P6,pooled,wcu,300,0.738977169236407,0.7393746107256554,0.000397441489248469,0.019418295436674404,0.0007940731515483843,0.009538563365483635,2.035767305057876,0.10030829920758898,0.5833333333333334,0.02846375212766555,0.01627771232559039,chin,1.0,0.01,0.5,1.743444986930914,0.81,0.02264950330581225,,,,,,,
chin_s010_r5,mf_P6,pooled,cr2cv,300,0.738977169236407,0.7393746107256554,0.000397441489248469,0.019418295436674404,0.0007940731515483843,0.015786615778234314,1.230048017222744,0.06253029775223692,0.7933333333333333,0.023377735530168836,0.02775038557436223,chin,1.0,0.01,0.5,1.743444986930914,0.9433333333333334,0.013348602368232605,,,,,,,
chin_s010_r5,q3,edu,wcu,150,-0.006366232806198401,-0.08585265273408808,-0.07948641992788968,0.11030232801442882,0.006389642301644272,0.06650030745175335,1.6586739556723746,0.14646713275167686,0.6333333333333333,0.039346513799168384,0.11274916311808937,chin,1.0,0.01,0.5,1.75,0.8466666666666667,0.029419066631718307,,,,,,,
chin_s010_r5,q3,edu,cr2cv,150,-0.006366232806198401,-0.08585265273408808,-0.07948641992788968,0.11030232801442882,0.006389642301644272,0.09158922675800625,1.2043155283521025,0.11128233135272102,0.7733333333333333,0.034184683596496734,0.16048775473758317,chin,1.0,0.01,0.5,1.75,0.9266666666666666,0.02128466671190877,,,,,,,
chin_s010_r5,q3,web,wcu,150,-0.0036755075690859665,-0.05717166938800531,-0.05349616181891934,0.10917112869422947,0.006324113684451428,0.056184728688447906,1.9430747685834435,0.1400726034271418,0.5666666666666667,0.04046031434674028,0.09648906570637933,chin,1.0,0.01,0.5,1.75,0.7866666666666666,0.03344868928395872,,,,,,,
chin_s010_r5,q3,web,cr2cv,150,-0.0036755075690859665,-0.05717166938800531,-0.05349616181891934,0.10917112869422947,0.006324113684451428,0.07708661851694072,1.4162137449347034,0.10570897102095791,0.7,0.03741657386773942,0.13339765500288417,chin,1.0,0.01,0.5,1.75,0.9133333333333333,0.022971802360801027,,,,,,,
chin_s010_r5,q3,pooled,wcu,300,-0.005020870187642183,-0.0715121610610467,-0.06649129087340451,0.11032511866466334,0.0045115296014881425,0.06134251807010063,1.798509779767871,0.10609509137887953,0.6,0.0282842712474619,0.10461911441223437,chin,1.0,0.01,0.5,1.75,0.8166666666666667,0.02233996584764789,,,,,,,
