sample,objective,sigma_star,obj,LR,LR_KB,kappa,E,a_share,kappa_at_bound
full design (n=240),huber,0.68,0.0009702468591503946,8.012872229773128,5.494661116372153,0.6889265394341991,1.7429043571138847,0.5070398461223526,False
full design (n=240),huber,0.69,0.0009579590073256286,1.8950102066778445,1.6104652195936329,0.7263880672311618,1.747461792372349,0.5068579346350801,False
full design (n=240),huber,0.7,0.0009541966434929019,0.0061085689085623625,0.036815767206543754,0.7716472484554959,1.75671209260475,0.503767771856522,False
full design (n=240),huber,0.71,0.0009566449819613835,1.2361457340262745,0.5003158923565082,0.8133796327818549,1.7599411380439285,0.5032884120834895,False
full design (n=240),huber,0.72,0.0009643707036229912,5.096984995748771,2.866476747972181,0.85629424493515,1.7614081264924826,0.503199132286368,False
full design (n=240),huber,0.73,0.0009836681254690464,14.607129610593812,9.490315915187804,0.909198731356928,1.7681651406963617,0.5058201127509485,False
full design (n=240),huber,0.74,0.001013510104493003,28.95258550316836,19.44832083174171,0.9657389175110568,1.7738410926702008,0.5132776974440194,False
full design (n=240),huber,0.75,0.0010484281447679477,45.21132828498614,30.83650659511588,1.0231811797299417,1.7763480717804294,0.5216567263581543,False
full design (n=240),huber,0.76,0.0010876600994145494,62.84492193745465,43.97814314674813,1.0824170922567773,1.7773611599422254,0.5253061797356127,False
full design (n=240),huber,0.77,0.001129942399546208,81.15114589318988,58.09061857022937,1.1424144378404728,1.7761435157725978,0.522980085825657,False
full design (n=240),huber,0.78,0.0011762484811795376,100.42960818358665,73.28396386741052,1.207200619136432,1.7742717683440716,0.5196222071468496,False
full design (n=240),huber,0.79,0.0012271874521537006,120.77911512334255,89.70984929620491,1.2788472395025536,1.7729813500280718,0.5139648803561641,False
full design (n=240),huber,0.8,0.001281055476941669,141.39962842026281,107.00356738683166,1.3624644818931768,1.7740757682573687,0.5096110851264333,False
full design (n=240),huber,0.82,0.0013919291943725039,181.2426836218321,143.70788700991056,1.5640447212836757,1.7789796572018988,0.5031448914112425,False
full design (n=240),huber,0.84,0.0015044286808333354,218.5494920497464,181.44421299356412,1.795173641488772,1.7746944442757588,0.49141648437134205,False
full design (n=240),huber,0.86,0.0016163718148183386,252.9994784478312,218.00726782402688,2.0903064130301177,1.768256240270406,0.4744682945876136,False
full design (n=240),huber,0.88,0.001725751309066938,284.4291488909253,253.75936829486247,2.4963580955695392,1.7626063889054113,0.45241158430489636,False
