mx,mz,hx,hz,loocv_rmse,conv
0.175,0.3,0.20716092096321,0.49656765422185256,0.0008377459142187421,ne
0.175,0.45,0.20716092096321,0.7448514813327789,0.0008251226349344127,ne
0.175,0.6,0.20716092096321,0.9931353084437051,0.0008409481024710907,ne
0.175,0.8,0.20716092096321,1.3241804112582738,0.0009106829695236091,ne
0.175,1.0,0.20716092096321,1.655225514072842,0.001001545433546438,ne
0.2,0.08,0.2367553382436686,0.13241804112582736,0.0012100833594742742,ne
0.2,0.1,0.2367553382436686,0.16552255140728422,0.0010768921574793382,ne
0.2,0.125,0.2367553382436686,0.20690318925910525,0.0009981276680813133,ne
0.2,0.15,0.2367553382436686,0.24828382711092628,0.0009471926486568326,ne
0.2,0.175,0.2367553382436686,0.28966446496274734,0.0009151021119045486,ne
0.2,0.2,0.2367553382436686,0.33104510281456845,0.0008951265152297244,ne
0.2,0.25,0.2367553382436686,0.4138063785182105,0.0008744215405357285,ne
0.2,0.3,0.2367553382436686,0.49656765422185256,0.0008640610551549277,ne
0.2,0.45,0.2367553382436686,0.7448514813327789,0.0008508131940249022,ne
0.2,0.6,0.2367553382436686,0.9931353084437051,0.0008652034751517488,ne
0.2,0.8,0.2367553382436686,1.3241804112582738,0.0009311784189921986,ne
0.2,1.0,0.2367553382436686,1.655225514072842,0.0010178964908234998,ne
0.25,0.08,0.29594417280458574,0.13241804112582736,0.0012707239650952562,ne
0.25,0.1,0.29594417280458574,0.16552255140728422,0.0011329632150493842,ne
0.25,0.125,0.29594417280458574,0.20690318925910525,0.0010464893757655713,ne
0.25,0.15,0.29594417280458574,0.24828382711092628,0.0009984347995813895,ne
0.25,0.175,0.29594417280458574,0.28966446496274734,0.0009686307724047597,ne
0.25,0.2,0.29594417280458574,0.33104510281456845,0.0009490974325577908,ne
0.25,0.25,0.29594417280458574,0.4138063785182105,0.0009268591351887608,ne
0.25,0.3,0.29594417280458574,0.49656765422185256,0.0009149290909050353,ne
0.25,0.45,0.29594417280458574,0.7448514813327789,0.0008998864590177454,ne
0.25,0.6,0.29594417280458574,0.9931353084437051,0.0009119020482075606,ne
0.25,0.8,0.29594417280458574,1.3241804112582738,0.0009716892987117339,ne
0.25,1.0,0.29594417280458574,1.655225514072842,0.0010518076472593228,ne
0.3,0.08,0.35513300736550285,0.13241804112582736,0.0013047821401013437,ne
0.3,0.1,0.35513300736550285,0.16552255140728422,0.001179947456092775,ne
0.3,0.125,0.35513300736550285,0.20690318925910525,0.0010945164058759093,ne
0.3,0.15,0.35513300736550285,0.24828382711092628,0.0010468488273271748,ne
0.3,0.175,0.35513300736550285,0.28966446496274734,0.0010170321176775044,ne
0.3,0.2,0.35513300736550285,0.33104510281456845,0.0009968829521413078,ne
0.3,0.25,0.35513300736550285,0.4138063785182105,0.0009727338550956147,ne
0.3,0.3,0.35513300736550285,0.49656765422185256,0.0009593611110253553,ne
0.3,0.45,0.35513300736550285,0.7448514813327789,0.0009429088383622465,ne
0.3,0.6,0.35513300736550285,0.9931353084437051,0.0009533119281985637,ne
0.3,0.8,0.35513300736550285,1.3241804112582738,0.0010083692694751402,ne
0.3,1.0,0.35513300736550285,1.655225514072842,0.0010835711452324723,ne
0.45,0.08,0.5326995110482543,0.13241804112582736,0.00126303579428198,ne
0.45,0.1,0.5326995110482543,0.16552255140728422,0.001196790724667644,ne
0.45,0.125,0.5326995110482543,0.20690318925910525,0.0011451609745095105,ne
0.45,0.15,0.5326995110482543,0.24828382711092628,0.0011122220833070613,ne
