set,series,tau,share
S1,all models,6.326082712053947,0.42857142857142855
S1,all models,6.349845943647298,0.42857142857142855
S1,all models,6.37369843919774,0.42857142857142855
S1,all models,6.397640534015476,0.42857142857142855
S1,all models,6.421672564670266,0.42857142857142855
S1,all models,6.445794868996159,0.42857142857142855
S1,all models,6.470007786096236,0.42857142857142855
S1,all models,6.494311656347384,0.42857142857142855
S1,all models,6.518706821405078,0.42857142857142855
S1,all models,6.543193624208185,0.42857142857142855
S1,all models,6.5677724089837834,0.42857142857142855
S1,all models,6.592443521252,0.42857142857142855
S1,all models,6.617207307830872,0.42857142857142855
S1,all models,6.642064116841222,0.42857142857142855
S1,all models,6.667014297711548,0.42857142857142855
S1,all models,6.692058201182937,0.42857142857142855
S1,all models,6.717196179313999,0.42857142857142855
S1,all models,6.7424285854858095,0.42857142857142855
S1,all models,6.767755774406884,0.42857142857142855
S1,all models,6.793178102118159,0.42857142857142855
S1,all models,6.818695925998003,0.42857142857142855
S1,all models,6.844309604767234,0.42857142857142855
S1,all models,6.870019498494164,0.4155844155844156
S1,all models,6.8958259685996675,0.4155844155844156
S1,all models,6.921729377862249,0.4155844155844156
S1,all models,6.947730090423158,0.4155844155844156
S1,all models,6.973828471791493,0.4155844155844156
S1,all models,7.000024888849354,0.4155844155844156
S1,all models,7.026319709856989,0.4155844155844156
S1,all models,7.052713304457976,0.4155844155844156
S1,all models,7.079206043684417,0.4155844155844156
S1,all models,7.10579829996216,0.4155844155844156
S1,all models,7.132490447116021,0.4155844155844156
S1,all models,7.159282860375056,0.4025974025974026
S1,all models,7.186175916377823,0.4025974025974026
S1,all models,7.213169993177683,0.4025974025974026
S1,all models,7.2402654702481115,0.4025974025974026
S1,all models,7.267462728488035,0.4025974025974026
S1,all models,7.294762150227187,0.38961038961038963
S1,all models,7.322164119231474,0.38961038961038963
S1,all models,7.349669020708384,0.38961038961038963
S1,all models,7.377277241312389,0.38961038961038963
S1,all models,7.404989169150391,0.38961038961038963
S1,all models,7.432805193787169,0.38961038961038963
S1,all models,7.460725706250856,0.38961038961038963
S1,all models,7.48875109903845,0.38961038961038963
S1,all models,7.5168817661213065,0.38961038961038963
S1,all models,7.545118102950705,0.37662337662337664
S1,all models,7.573460506463381,0.37662337662337664
S1,all models,7.601909375087131,0.37662337662337664
S1,all models,7.630465108746391,0.37662337662337664
S1,all models,7.659128108867877,0.37662337662337664
S1,all models,7.687898778386213,0.37662337662337664
S1,all models,7.716777521749613,0.37662337662337664
S1,all models,7.745764744925542,0.37662337662337664
S1,all models,7.774860855406451,0.37662337662337664
S1,all models,7.804066262215479,0.37662337662337664
S1,all models,7.833381375912228,0.37662337662337664
S1,all models,7.862806608598507,0.37662337662337664
S1,all models,7.892342373924156,0.37662337662337664
S1,all models,7.92198908709283,0.37662337662337664
S1,all models,7.951747164867864,0.37662337662337664
S1,all models,7.981617025578109,0.37662337662337664
S1,all models,8.0,0.37662337662337664
S1,all models,8.011599089123822,0.37662337662337664
S1,all models,8.04169377698258,0.37662337662337664
S1,all models,8.071901512215177,0.37662337662337664
S1,all models,8.102222719471607,0.37662337662337664
S1,all models,8.132657824996995,0.37662337662337664
S1,all models,8.163207256637632,0.37662337662337664
S1,all models,8.19387144384694,0.37662337662337664
S1,all models,8.22465081769156,0.35064935064935066
S1,all models,8.255545810857367,0.33766233766233766
S1,all models,8.28655685765559,0.33766233766233766
S1,all models,8.317684394028886,0.33766233766233766
S1,all models,8.348928857557492,0.33766233766233766
S1,all models,8.380290687465362,0.33766233766233766
S1,all models,8.41177032462635,0.33766233766233766
S1,all models,8.443368211570395,0.33766233766233766
S1,all models,8.475084792489767,0.33766233766233766
S1,all models,8.506920513245278,0.33766233766233766
S1,all models,8.538875821372581,0.33766233766233766
S1,all models,8.570951166088435,0.33766233766233766
S1,all models,8.603146998297046,0.33766233766233766
S1,all models,8.635463770596377,0.3246753246753247
S1,all models,8.667901937284533,0.3246753246753247
S1,all models,8.700461954366144,0.3246753246753247
S1,all models,8.73314427955876,0.3246753246753247
S1,all models,8.76594937229931,0.3246753246753247
S1,all models,8.798877693750532,0.3246753246753247
S1,all models,8.831929706807486,0.3246753246753247
S1,all models,8.865105876104032,0.3246753246753247
S1,all models,8.89840666801939,0.3246753246753247
